content,score,at,clean_text,normalized_text,text_StopWords,text_tokens,text_steaming,sentimen,,
"Sudah apal sama aplikasi plat merah, pasti nek ga erorr ya ngelag",1,2024-11-21 02:59:21,sudah apal sama aplikasi plat merah pasti nek ga erorr ya ngelag,sudah apal sama aplikasi plat merah pasti kalau tidak erorr iya ngelag,apal aplikasi plat merah erorr iya ngelag,"['apal', 'aplikasi', 'plat', 'merah', 'erorr', 'iya', 'ngelag']",apal aplikasi plat merah erorr iya ngelag,negatif,,
Good,5,2024-11-21 02:57:02,good,baik,,[],,positif,,
Semoga bisa ke versi 2.73,5,2024-11-21 02:56:05,semoga bisa ke versi 273,semoga bisa ke versi 273,semoga versi 273,"['semoga', 'versi', '273']",moga versi 273,netral,,
"Aplikasi keong. Harus Ditingkatkan lagi. Jangan buang"" anggaran",2,2024-11-21 02:52:32,aplikasi keong harus ditingkatkan lagi jangan buang anggaran,aplikasi keong harus ditingkatkan lagi jangan buang anggaran,aplikasi keong ditingkatkan buang anggaran,"['aplikasi', 'keong', 'ditingkatkan', 'buang', 'anggaran']",aplikasi keong tingkat buang anggar,negatif,,
Lupa pasword sirekap,2,2024-11-21 02:52:14,lupa pasword sirekap,lupa pasword sirekap,lupa pasword sirekap,"['lupa', 'pasword', 'sirekap']",lupa pasword sirekap,negatif,,
kagal bisa log in,1,2024-11-21 02:51:17,kagal bisa log in,kagal bisa log in,kagal log in,"['kagal', 'log', 'in']",kagal log in,negatif,,
"Terlalu ribet, dan aplikasi masih kurang sempurna untuk di gunakan d seluruh Indonesia",1,2024-11-21 02:48:55,terlalu ribet dan aplikasi masih kurang sempurna untuk di gunakan d seluruh indonesia,terlalu ribet dan aplikasi masih kurang sempurna untuk di gunakan d seluruh indonesia,ribet aplikasi sempurna d indonesia,"['ribet', 'aplikasi', 'sempurna', 'd', 'indonesia']",ribet aplikasi sempurna d indonesia,negatif,,
gagal login terus,1,2024-11-21 02:41:58,gagal login terus,gagal login terus,gagal login,"['gagal', 'login']",gagal login,negatif,,
Belum di pake aja udah eror apa lg pas di pake,1,2024-11-21 02:37:02,belum di pake aja udah eror apa lg pas di pake,belum di pakai saja sudah error apa lagi saat di pakai,pakai error pakai,"['pakai', 'error', 'pakai']",pakai error pakai,negatif,,
Apk yg versi 2.73 ini kenapa malah susah sering macet pas mau masuk ke profil... Terjadi kesalahan saat inisiali aplikasi gagal mendapatkan kunci digital: java. Lang. Exception : anda saat ini sedang melakukan inisialisasi. Harap tunggu sejenak dan coba lagi..........gitu gitu mulu padahal yang versi 2.71 mah lancar lancar saja ini kenapa yng baru malah susah kendalanya cuman gk bisa masuk ke profil yg pengguna apk sirekap terbaru ini apakah sama punya kendala seperti ini..?????,1,2024-11-21 02:34:06,apk yg versi 273 ini kenapa malah susah sering macet pas mau masuk ke profil terjadi kesalahan saat inisiali aplikasi gagal mendapatkan kunci digital java lang exception anda saat ini sedang melakukan inisialisasi harap tunggu sejenak dan coba lagigitu gitu mulu padahal yang versi 271 mah lancar lancar saja ini kenapa yng baru malah susah kendalanya cuman gk bisa masuk ke profil yg pengguna apk sirekap terbaru ini apakah sama punya kendala seperti ini,aplikasi yang versi 273 ini kenapa malah susah sering macet saat ingin masuk ke profil terjadi kesalahan saat inisiali aplikasi gagal mendapatkan kunci digital java lang exception anda saat ini sedang melakukan inisialisasi harap tunggu sejenak dan coba lagigitu gitu mulu padahal yang versi 271 mah lancar lancar saja ini kenapa yng baru malah susah kendalanya cuman tidak bisa masuk ke profil yang pengguna aplikasi sirekap terbaru ini apakah sama punya kendala seperti ini,aplikasi versi 273 susah macet masuk profil kesalahan inisiali aplikasi gagal kunci digital java lang exception inisialisasi harap tunggu coba lagigitu gitu mulu versi 271 mah lancar lancar yng susah kendalanya cuman masuk profil pengguna aplikasi sirekap terbaru kendala,"['aplikasi', 'versi', '273', 'susah', 'macet', 'masuk', 'profil', 'kesalahan', 'inisiali', 'aplikasi', 'gagal', 'kunci', 'digital', 'java', 'lang', 'exception', 'inisialisasi', 'harap', 'tunggu', 'coba', 'lagigitu', 'gitu', 'mulu', 'versi', '271', 'mah', 'lancar', 'lancar', 'yng', 'susah', 'kendalanya', 'cuman', 'masuk', 'profil', 'pengguna', 'aplikasi', 'sirekap', 'terbaru', 'kendala']",aplikasi versi 273 susah macet masuk profil salah inisial aplikasi gagal kunci digital java lang exception inisial harap tunggu coba lagigitu gitu mulu versi 271 mah lancar lancar yng susah kendala cuman masuk profil guna aplikasi sirekap baru kendala,negatif,,
Gak bisa di install 2.73,1,2024-11-21 02:31:11,gak bisa di install 273,tidak bisa di install 273,install 273,"['install', '273']",install 273,negatif,,
"Tuluy we tuluy lah saacan Sirah coplok mah, Mun sakirana teu bisa ngembangkeun apk na mending keneh neangan pagawe lain jangar lah Kana Sirah aing na, ti pemilu kamari knh ku apk sirekap ieu",1,2024-11-21 02:15:42,tuluy we tuluy lah saacan sirah coplok mah mun sakirana teu bisa ngembangkeun apk na mending keneh neangan pagawe lain jangar lah kana sirah aing na ti pemilu kamari knh ku apk sirekap ieu,tuluy we tuluy lah saacan sirah coplok mah mun sakirana teu bisa ngembangkeun aplikasi na mending keneh neangan pagawe lain jangar lah kana sirah aing na ti pemilu kamari knh ku aplikasi sirekap ieu,tuluy we tuluy saacan sirah coplok mah mun sakirana teu ngembangkeun aplikasi na mending keneh neangan pagawe jangar kana sirah aing na ti pemilu kamari knh ku aplikasi sirekap ieu,"['tuluy', 'we', 'tuluy', 'saacan', 'sirah', 'coplok', 'mah', 'mun', 'sakirana', 'teu', 'ngembangkeun', 'aplikasi', 'na', 'mending', 'keneh', 'neangan', 'pagawe', 'jangar', 'kana', 'sirah', 'aing', 'na', 'ti', 'pemilu', 'kamari', 'knh', 'ku', 'aplikasi', 'sirekap', 'ieu']",tuluy we tuluy saacan sirah coplok mah mun sakirana teu ngembangkeun aplikasi na mending keneh neangan pagawe jangar kana sirah aing na ti milu kamar knh ku aplikasi sirekap ieu,negatif,,
"Dari dulu penyakitnya sama nih apk, buat orang darting",2,2024-11-21 02:08:24,dari dulu penyakitnya sama nih apk buat orang darting,dari dulu penyakitnya sama nih aplikasi untuk orang darting,penyakitnya nih aplikasi orang darting,"['penyakitnya', 'nih', 'aplikasi', 'orang', 'darting']",sakit nih aplikasi orang darting,negatif,,
"Gk ush di bikin runyam deh aplikasi gk jelas bukan nya mempermudah mempersulit iya, di benerin tu aplikasi gk jls ni",1,2024-11-21 02:07:22,gk ush di bikin runyam deh aplikasi gk jelas bukan nya mempermudah mempersulit iya di benerin tu aplikasi gk jls ni,tidak ush di bikin runyam deh aplikasi tidak jelas bukan nya mempermudah mempersulit iya di benerin tu aplikasi tidak jls ni,ush bikin runyam deh aplikasi nya mempermudah mempersulit iya benerin tu aplikasi jls ni,"['ush', 'bikin', 'runyam', 'deh', 'aplikasi', 'nya', 'mempermudah', 'mempersulit', 'iya', 'benerin', 'tu', 'aplikasi', 'jls', 'ni']",ush bikin runyam deh aplikasi nya mudah sulit iya benerin tu aplikasi jls ni,negatif,,
Semoga berjalan lancar dan sukses,5,2024-11-21 02:05:03,semoga berjalan lancar dan sukses,semoga berjalan lancar dan sukses,semoga berjalan lancar sukses,"['semoga', 'berjalan', 'lancar', 'sukses']",moga jalan lancar sukses,positif,,
ok. semangat lagi min,5,2024-11-21 02:04:09,ok semangat lagi min,ok semangat lagi min,ok semangat min,"['ok', 'semangat', 'min']",ok semangat min,positif,,
"Apa ini apk tidak bisa dipakai untuk yang versi 2.73 stuck di tempat login doang? Ini gimana yang buat,padahal penting untuk pemilihan tpi apk tidak di perbaiki ada yang banyak kesalahan",1,2024-11-21 01:56:53,apa ini apk tidak bisa dipakai untuk yang versi 273 stuck di tempat login doang ini gimana yang buatpadahal penting untuk pemilihan tpi apk tidak di perbaiki ada yang banyak kesalahan,apa ini aplikasi tidak bisa dipakai untuk yang versi 273 stuck di tempat login doang ini gimana yang buatpadahal penting untuk pemilihan tpi aplikasi tidak di perbaiki ada yang banyak kesalahan,aplikasi dipakai versi 273 stuck login doang gimana buatpadahal pemilihan tpi aplikasi perbaiki kesalahan,"['aplikasi', 'dipakai', 'versi', '273', 'stuck', 'login', 'doang', 'gimana', 'buatpadahal', 'pemilihan', 'tpi', 'aplikasi', 'perbaiki', 'kesalahan']",aplikasi pakai versi 273 stuck login doang gimana buatpadahal pilih tpi aplikasi baik salah,negatif,,
kamera delay banget astagaa.penyimpanan masih banyak padahal..hadeeuuh,1,2024-11-21 01:51:21,kamera delay banget astagaapenyimpanan masih banyak padahalhadeeuuh,kamera delay banget astagaapenyimpanan masih banyak padahalhadeeuuh,kamera delay banget astagaapenyimpanan padahalhadeeuuh,"['kamera', 'delay', 'banget', 'astagaapenyimpanan', 'padahalhadeeuuh']",kamera delay banget astagaapenyimpanan padahalhadeeuuh,negatif,,
"Proses inisialisasi gagal teruuuss.. uninstall, instal lagi berulang"".buang"" kuota",1,2024-11-21 01:49:00,proses inisialisasi gagal teruuuss uninstall instal lagi berulangbuang kuota,proses inisialisasi gagal teruuuss uninstall instal lagi berulangbuang kuota,proses inisialisasi gagal teruuuss uninstall instal berulangbuang kuota,"['proses', 'inisialisasi', 'gagal', 'teruuuss', 'uninstall', 'instal', 'berulangbuang', 'kuota']",proses inisial gagal teruuuss uninstall instal berulangbuang kuota,negatif,,
Ampass,1,2024-11-21 01:46:12,ampass,ampass,ampass,['ampass'],ampass,negatif,,
Susah di update,1,2024-11-21 01:43:09,susah di update,susah di update,susah update,"['susah', 'update']",susah update,negatif,,
Sangat puas,5,2024-11-21 01:34:22,sangat puas,sangat puas,puas,['puas'],puas,positif,,
APK KGAK JELAS NYUSAHIN NJG,1,2024-11-21 01:30:46,apk kgak jelas nyusahin njg,aplikasi kgak jelas nyusahin njg,aplikasi kgak nyusahin njg,"['aplikasi', 'kgak', 'nyusahin', 'njg']",aplikasi kgak nyusahin njg,negatif,,
Full update,3,2024-11-21 01:29:34,full update,full update,full update,"['full', 'update']",full update,netral,,
Mantapb,4,2024-11-21 01:28:25,mantapb,mantapb,mantapb,['mantapb'],mantapb,positif,,
Aplikasinya gak bisa di login,2,2024-11-21 01:26:40,aplikasinya gak bisa di login,aplikasinya tidak bisa di login,aplikasinya login,"['aplikasinya', 'login']",aplikasi login,negatif,,
Indonesia se level apk aja gini amat.. gimana mau punya mimpi bikin yang lain semisal manufaktur litograf microchip.. gkgk,2,2024-11-21 01:23:42,indonesia se level apk aja gini amat gimana mau punya mimpi bikin yang lain semisal manufaktur litograf microchip gkgk,indonesia se level aplikasi saja begini amat gimana ingin punya mimpi bikin yang lain semisal manufaktur litograf microchip gkgk,indonesia level aplikasi gimana mimpi bikin manufaktur litograf microchip gkgk,"['indonesia', 'level', 'aplikasi', 'gimana', 'mimpi', 'bikin', 'manufaktur', 'litograf', 'microchip', 'gkgk']",indonesia level aplikasi gimana mimpi bikin manufaktur litograf microchip gkgk,negatif,,
Release apk perlu pembaruan ke versi lebih tinggi tetapi malah banyak bug,1,2024-11-21 01:21:24,release apk perlu pembaruan ke versi lebih tinggi tetapi malah banyak bug,release aplikasi perlu pembaruan ke versi lebih tinggi tetapi malah banyak bug,release aplikasi pembaruan versi bug,"['release', 'aplikasi', 'pembaruan', 'versi', 'bug']",release aplikasi baru versi bug,negatif,,
Sangat membatu,4,2024-11-21 01:15:31,sangat membatu,sangat membatu,membatu,['membatu'],batu,positif,,
Untuk KPU kalau bisa jangan bikin apk yg merepotkan katanya mau memudahkan eh malah tambah repot,1,2024-11-21 01:05:41,untuk kpu kalau bisa jangan bikin apk yg merepotkan katanya mau memudahkan eh malah tambah repot,untuk kpu kalau bisa jangan bikin aplikasi yang merepotkan katanya ingin memudahkan eh malah tambah repot,kpu bikin aplikasi merepotkan memudahkan eh repot,"['kpu', 'bikin', 'aplikasi', 'merepotkan', 'memudahkan', 'eh', 'repot']",kpu bikin aplikasi repot mudah eh repot,negatif,,
"Cacat, Update bukannya tambah bagus malah tambah parah",1,2024-11-21 01:04:02,cacat update bukannya tambah bagus malah tambah parah,cacat update bukannya tambah bagus malah tambah parah,cacat update bagus parah,"['cacat', 'update', 'bagus', 'parah']",cacat update bagus parah,negatif,,
Blum maksimal,3,2024-11-21 00:59:24,blum maksimal,blum maksimal,blum maksimal,"['blum', 'maksimal']",blum maksimal,negatif,,
Update apa harus instal ulang? Hadeh,1,2024-11-21 00:57:53,update apa harus instal ulang hadeh,update apa harus instal ulang hadeh,update instal ulang hadeh,"['update', 'instal', 'ulang', 'hadeh']",update instal ulang hadeh,negatif,,
kenapa ya invalid username or paswor terus padahal paswor dan username sudah benar mohon diperhatikan kendala yang di alami para pengguna sirekap terima kasih,3,2024-11-21 00:53:15,kenapa ya invalid username or paswor terus padahal paswor dan username sudah benar mohon diperhatikan kendala yang di alami para pengguna sirekap terima kasih,kenapa iya invalid username or paswor terus padahal paswor dan username sudah benar mohon diperhatikan kendala yang di alami para pengguna sirekap terima kasih,iya invalid username or paswor paswor username mohon diperhatikan kendala alami pengguna sirekap terima kasih,"['iya', 'invalid', 'username', 'or', 'paswor', 'paswor', 'username', 'mohon', 'diperhatikan', 'kendala', 'alami', 'pengguna', 'sirekap', 'terima', 'kasih']",iya invalid username or paswor paswor username mohon perhati kendala alami guna sirekap terima kasih,negatif,,
Apk buruk sekali mau d update malah GK bisa,1,2024-11-21 00:43:08,apk buruk sekali mau d update malah gk bisa,aplikasi buruk sekali ingin d update malah tidak bisa,aplikasi buruk d update,"['aplikasi', 'buruk', 'd', 'update']",aplikasi buruk d update,negatif,,
App CCD gangguan Mulu.,1,2024-11-21 00:28:44,app ccd gangguan mulu,app ccd gangguan mulu,app ccd gangguan mulu,"['app', 'ccd', 'gangguan', 'mulu']",app ccd ganggu mulu,negatif,,
"Saya punya tda bisa update ke versi 2.73 Gimana ni,, mohon sarannya🙏",2,2024-11-21 00:22:28,saya punya tda bisa update ke versi 273 gimana ni mohon sarannya,saya punya tda bisa update ke versi 273 gimana ni mohon sarannya,tda update versi 273 gimana ni mohon sarannya,"['tda', 'update', 'versi', '273', 'gimana', 'ni', 'mohon', 'sarannya']",tda update versi 273 gimana ni mohon saran,negatif,,
Mau up date ke versi 2.73 aja payah kali Seberat ini kah cobaan nya,1,2024-11-21 00:19:12,mau up date ke versi 273 aja payah kali seberat ini kah cobaan nya,ingin up date ke versi 273 saja payah kali seberat ini kah cobaan nya,up date versi 273 payah kali seberat kah cobaan nya,"['up', 'date', 'versi', '273', 'payah', 'kali', 'seberat', 'kah', 'cobaan', 'nya']",up date versi 273 payah kali berat kah coba nya,negatif,,
"Makin sampah aja ni aplikasi, padahal udah ngabisin angaran sangat buanyaaak...",1,2024-11-21 00:17:45,makin sampah aja ni aplikasi padahal udah ngabisin angaran sangat buanyaaak,makin sampah saja ni aplikasi padahal sudah ngabisin angaran sangat buanyaaak,sampah ni aplikasi ngabisin angaran buanyaaak,"['sampah', 'ni', 'aplikasi', 'ngabisin', 'angaran', 'buanyaaak']",sampah ni aplikasi ngabisin angaran buanyaaak,negatif,,
Ini aplikasinya bener2 buat pusing padahal sudah lakuin berbagai cara hapus penyimpanan hapus data uninstal aplikasi terus download lagi padahal penyimpanan masih tersisa banyak tetep aja gak bisa sampai ngerelain dokumen2 penting dihapus juga tetep gak bisa terus harus gimana saya,1,2024-11-21 00:12:11,ini aplikasinya bener2 buat pusing padahal sudah lakuin berbagai cara hapus penyimpanan hapus data uninstal aplikasi terus download lagi padahal penyimpanan masih tersisa banyak tetep aja gak bisa sampai ngerelain dokumen2 penting dihapus juga tetep gak bisa terus harus gimana saya,ini aplikasinya bener2 untuk pusing padahal sudah lakuin berbagai cara hapus penyimpanan hapus data uninstal aplikasi terus download lagi padahal penyimpanan masih tersisa banyak tetep saja tidak bisa sampai ngerelain dokumen2 penting dihapus juga tetep tidak bisa terus harus gimana saya,aplikasinya bener2 pusing lakuin hapus penyimpanan hapus data uninstal aplikasi download penyimpanan tersisa tetep ngerelain dokumen2 dihapus tetep gimana,"['aplikasinya', 'bener2', 'pusing', 'lakuin', 'hapus', 'penyimpanan', 'hapus', 'data', 'uninstal', 'aplikasi', 'download', 'penyimpanan', 'tersisa', 'tetep', 'ngerelain', 'dokumen2', 'dihapus', 'tetep', 'gimana']",aplikasi bener2 pusing lakuin hapus simpan hapus data uninstal aplikasi download simpan sisa tetep ngerelain dokumen2 hapus tetep gimana,negatif,,
Untuk sirekap coba dong ada fitur lupa pasword supaya memudahkan kita ketika lupa pasword.,1,2024-11-21 00:09:41,untuk sirekap coba dong ada fitur lupa pasword supaya memudahkan kita ketika lupa pasword,untuk sirekap coba dong ada fitur lupa pasword supaya memudahkan kita ketika lupa pasword,sirekap coba fitur lupa pasword memudahkan lupa pasword,"['sirekap', 'coba', 'fitur', 'lupa', 'pasword', 'memudahkan', 'lupa', 'pasword']",sirekap coba fitur lupa pasword mudah lupa pasword,positif,,
"Maklum lah, aplikasi proyekan",1,2024-11-21 00:01:31,maklum lah aplikasi proyekan,maklum lah aplikasi proyekan,maklum aplikasi proyekan,"['maklum', 'aplikasi', 'proyekan']",maklum aplikasi proyek,negatif,,
v 2.73 ga bisa diinstal dihp samsung A03s saya,1,2024-11-20 23:48:33,v 273 ga bisa diinstal dihp samsung a03s saya,v 273 tidak bisa diinstal dihp samsung a03s saya,v 273 diinstal dihp samsung a03s,"['v', '273', 'diinstal', 'dihp', 'samsung', 'a03s']",v 273 diinstal dihp samsung a03s,negatif,,
"aplikasi.a lebih buruk dari yang lalu"" 🙈🙈 susah login dan selalu error kalau mau login 🙈🙈🙈🙈",1,2024-11-20 23:47:38,aplikasia lebih buruk dari yang lalu susah login dan selalu error kalau mau login,aplikasia lebih buruk dari yang lalu susah login dan selalu error kalau ingin login,aplikasia buruk susah login error login,"['aplikasia', 'buruk', 'susah', 'login', 'error', 'login']",aplikasia buruk susah login error login,negatif,,
"Mudah2 dilancarkan pekerjaannya, Aamiin",5,2024-11-20 23:44:14,mudah2 dilancarkan pekerjaannya aamiin,mudah2 dilancarkan pekerjaannya aamiin,mudah2 dilancarkan pekerjaannya aamiin,"['mudah2', 'dilancarkan', 'pekerjaannya', 'aamiin']",mudah2 lancar kerja aamiin,netral,,
Mempermudah rekapitulasi,5,2024-11-20 23:34:27,mempermudah rekapitulasi,mempermudah rekapitulasi,mempermudah rekapitulasi,"['mempermudah', 'rekapitulasi']",mudah rekapitulasi,positif,,
"Kalo belum siap digitalisasi jangan dipaksakan, bikin susah aja",1,2024-11-20 23:25:10,kalo belum siap digitalisasi jangan dipaksakan bikin susah aja,kalau belum siap digitalisasi jangan dipaksakan bikin susah saja,digitalisasi dipaksakan bikin susah,"['digitalisasi', 'dipaksakan', 'bikin', 'susah']",digitalisasi paksa bikin susah,negatif,,
"Apk gembel di suruh update,tapi gak bisa di instal👎👎👎",1,2024-11-20 23:18:15,apk gembel di suruh updatetapi gak bisa di instal,aplikasi gembel di suruh updatetapi tidak bisa di instal,aplikasi gembel suruh updatetapi instal,"['aplikasi', 'gembel', 'suruh', 'updatetapi', 'instal']",aplikasi gembel suruh updatetapi instal,negatif,,
Membantu untuk menghitung surat suara lewat aplikasi ini dan juga memudahkan petugas untuk bekerja.tapi kendalanya kenapa sirekap tidak bisa mengupdate ke versi 2.73,5,2024-11-20 23:17:45,membantu untuk menghitung surat suara lewat aplikasi ini dan juga memudahkan petugas untuk bekerjatapi kendalanya kenapa sirekap tidak bisa mengupdate ke versi 273,membantu untuk menghitung surat suara lewat aplikasi ini dan juga memudahkan petugas untuk bekerjatapi kendalanya kenapa sirekap tidak bisa mengupdate ke versi 273,membantu menghitung surat suara aplikasi memudahkan petugas bekerjatapi kendalanya sirekap mengupdate versi 273,"['membantu', 'menghitung', 'surat', 'suara', 'aplikasi', 'memudahkan', 'petugas', 'bekerjatapi', 'kendalanya', 'sirekap', 'mengupdate', 'versi', '273']",bantu hitung surat suara aplikasi mudah tugas bekerjatapi kendala sirekap mengupdate versi 273,negatif,,
versi 2.71 saya telat dapat notif aktivasi. sekarang sudah aman bisa login dib2.71 malah di suruh ganti ke 2.73 alhasil dari semalam sampai bangun pagi tidak bisa masuk hadeuwhhhhhhhh. belum hari H sudah di bikin puyeng,1,2024-11-20 23:07:28,versi 271 saya telat dapat notif aktivasi sekarang sudah aman bisa login dib271 malah di suruh ganti ke 273 alhasil dari semalam sampai bangun pagi tidak bisa masuk hadeuwhhhhhhhh belum hari h sudah di bikin puyeng,versi 271 saya telat dapat notif aktivasi sekarang sudah aman bisa login dib271 malah di suruh ganti ke 273 alhasil dari semalam sampai bangun pagi tidak bisa masuk hadeuwhhhhhhhh belum hari h sudah di bikin puyeng,versi 271 telat notif aktivasi aman login dib271 suruh ganti 273 alhasil semalam bangun pagi masuk hadeuwhhhhhhhh h bikin puyeng,"['versi', '271', 'telat', 'notif', 'aktivasi', 'aman', 'login', 'dib271', 'suruh', 'ganti', '273', 'alhasil', 'semalam', 'bangun', 'pagi', 'masuk', 'hadeuwhhhhhhhh', 'h', 'bikin', 'puyeng']",versi 271 telat notif aktivasi aman login dib271 suruh ganti 273 alhasil malam bangun pagi masuk hadeuwhhhhhhhh h bikin puyeng,negatif,,
"Sekelas KPU bikin aplikasi aja g becus, anggaran jorjoran kualitas ajur ajuran,",1,2024-11-20 23:04:45,sekelas kpu bikin aplikasi aja g becus anggaran jorjoran kualitas ajur ajuran,sekelas kpu bikin aplikasi saja g becus anggaran jorjoran kualitas ajur ajuran,sekelas kpu bikin aplikasi g becus anggaran jorjoran kualitas ajur ajuran,"['sekelas', 'kpu', 'bikin', 'aplikasi', 'g', 'becus', 'anggaran', 'jorjoran', 'kualitas', 'ajur', 'ajuran']",kelas kpu bikin aplikasi g becus anggar jorjoran kualitas ajur ajur,negatif,,
Good,5,2024-11-20 23:02:26,good,baik,,[],,positif,,
"Gagal update terus, kenapa yah?",5,2024-11-20 22:49:30,gagal update terus kenapa yah,gagal update terus kenapa yah,gagal update yah,"['gagal', 'update', 'yah']",gagal update yah,negatif,,
Keren ..semoga pada hari H tidak menemui kendala semoga berjalan dengan lancar,5,2024-11-20 22:47:16,keren semoga pada hari h tidak menemui kendala semoga berjalan dengan lancar,keren semoga pada hari h tidak menemui kendala semoga berjalan dengan lancar,keren semoga h menemui kendala semoga berjalan lancar,"['keren', 'semoga', 'h', 'menemui', 'kendala', 'semoga', 'berjalan', 'lancar']",keren moga h temu kendala moga jalan lancar,positif,,
"Aplikasi yang ""Dipaksakan"" untuk perhitungan pilkada serentak ataupun pemilu. Padahal masih jauh dari kata bagus.",3,2024-11-20 22:23:00,aplikasi yang dipaksakan untuk perhitungan pilkada serentak ataupun pemilu padahal masih jauh dari kata bagus,aplikasi yang dipaksakan untuk perhitungan pilkada serentak ataupun pemilu padahal masih jauh dari kata bagus,aplikasi dipaksakan perhitungan pilkada serentak pemilu bagus,"['aplikasi', 'dipaksakan', 'perhitungan', 'pilkada', 'serentak', 'pemilu', 'bagus']",aplikasi paksa hitung pilkada serentak milu bagus,positif,,
Alangkah susahnya dowlod aplikasi ini... Kudu ulang ulang downlod karna macet..,1,2024-11-20 22:04:11,alangkah susahnya dowlod aplikasi ini kudu ulang ulang downlod karna macet,alangkah susahnya dowlod aplikasi ini kudu ulang ulang downlod karna macet,alangkah susahnya dowlod aplikasi kudu ulang ulang downlod karna macet,"['alangkah', 'susahnya', 'dowlod', 'aplikasi', 'kudu', 'ulang', 'ulang', 'downlod', 'karna', 'macet']",alangkah susah dowlod aplikasi kudu ulang ulang downlod karna macet,negatif,,
error ga bisa aktivasi,1,2024-11-20 21:56:53,error ga bisa aktivasi,error tidak bisa aktivasi,error aktivasi,"['error', 'aktivasi']",error aktivasi,negatif,,
Bagus,4,2024-11-20 21:27:13,bagus,bagus,bagus,['bagus'],bagus,positif,,
Kurang bagus,2,2024-11-20 20:40:34,kurang bagus,kurang bagus,bagus,['bagus'],bagus,negatif,,
Tidak bisa update dari versi 2.71 ke Versi 2.73,1,2024-11-20 20:26:59,tidak bisa update dari versi 271 ke versi 273,tidak bisa update dari versi 271 ke versi 273,update versi 271 versi 273,"['update', 'versi', '271', 'versi', '273']",update versi 271 versi 273,negatif,,
Kenapa saya tidak bisa login,2,2024-11-20 20:02:58,kenapa saya tidak bisa login,kenapa saya tidak bisa login,login,['login'],login,negatif,,
Mantap,5,2024-11-20 18:58:56,mantap,mantap,mantap,['mantap'],mantap,positif,,
Setelah diupdate ke 2.73 ada yang sukses ada yang malah terjadi kesalahan saat melakukan inisialisasi Dengan peringatan gagal mendapatkan kunci digital,1,2024-11-20 18:55:38,setelah diupdate ke 273 ada yang sukses ada yang malah terjadi kesalahan saat melakukan inisialisasi dengan peringatan gagal mendapatkan kunci digital,setelah diupdate ke 273 ada yang sukses ada yang malah terjadi kesalahan saat melakukan inisialisasi dengan peringatan gagal mendapatkan kunci digital,diupdate 273 sukses kesalahan inisialisasi peringatan gagal kunci digital,"['diupdate', '273', 'sukses', 'kesalahan', 'inisialisasi', 'peringatan', 'gagal', 'kunci', 'digital']",diupdate 273 sukses salah inisial ingat gagal kunci digital,negatif,,
"Tolong diperbaiki, saya tidak bisa login karena kesalahan saat melakukan inisialisasi aplikasi , kenapa itu? Tiba-tiba saja..",1,2024-11-20 17:53:20,tolong diperbaiki saya tidak bisa login karena kesalahan saat melakukan inisialisasi aplikasi kenapa itu tibatiba saja,mohon diperbaiki saya tidak bisa login karena kesalahan saat melakukan inisialisasi aplikasi kenapa itu tibatiba saja,mohon diperbaiki login kesalahan inisialisasi aplikasi tibatiba,"['mohon', 'diperbaiki', 'login', 'kesalahan', 'inisialisasi', 'aplikasi', 'tibatiba']",mohon baik login salah inisial aplikasi tibatiba,negatif,,
bikin pusinh,1,2024-11-20 17:49:55,bikin pusinh,bikin pusinh,bikin pusinh,"['bikin', 'pusinh']",bikin pusinh,negatif,,
"APLIKASI BUSUK,,,!!!!!! Kalau belum bisa bikin aplikasi yang bagus, tidak usah pakai aplikasi untuk event sebesar PEMILU dan PILKADA, Aplikasi masih banyak bug kek gini kok mau Rekap data PEMILU dan PILKADA,, 👎🏻👎🏻👎🏻👎🏻👎🏻",1,2024-11-20 17:48:46,aplikasi busuk kalau belum bisa bikin aplikasi yang bagus tidak usah pakai aplikasi untuk event sebesar pemilu dan pilkada aplikasi masih banyak bug kek gini kok mau rekap data pemilu dan pilkada,aplikasi busuk kalau belum bisa bikin aplikasi yang bagus tidak usah pakai aplikasi untuk event sebesar pemilu dan pilkada aplikasi masih banyak bug kek begini mengapa ingin rekap data pemilu dan pilkada,aplikasi busuk bikin aplikasi bagus pakai aplikasi event pemilu pilkada aplikasi bug kek rekap data pemilu pilkada,"['aplikasi', 'busuk', 'bikin', 'aplikasi', 'bagus', 'pakai', 'aplikasi', 'event', 'pemilu', 'pilkada', 'aplikasi', 'bug', 'kek', 'rekap', 'data', 'pemilu', 'pilkada']",aplikasi busuk bikin aplikasi bagus pakai aplikasi event milu pilkada aplikasi bug kek rekap data milu pilkada,negatif,,
❤,5,2024-11-20 17:41:32,,,,[],,positif,,
Aneh,1,2024-11-20 17:40:15,aneh,aneh,aneh,['aneh'],aneh,negatif,,
Kenapa gagal mendapatkan kunci digital.,1,2024-11-20 17:33:07,kenapa gagal mendapatkan kunci digital,kenapa gagal mendapatkan kunci digital,gagal kunci digital,"['gagal', 'kunci', 'digital']",gagal kunci digital,negatif,,
KPU OK,5,2024-11-20 17:30:42,kpu ok,kpu ok,kpu ok,"['kpu', 'ok']",kpu ok,positif,,
