content,score,at,sentimen,,
"terima kasih atas kerja kerasnya dalam membuat aplikasi ini, persiapan besok bimtek jadi bisa tenang.",5,2024-11-13 12:09:19,positif,,
Mungkin suka,5,2024-11-13 11:50:24,positif,,
Semoga baik,5,2024-11-13 11:41:48,positif,,
Ini gmn ya...udah masuk trs udah dimasukan username dan pasword...trs muncul nmr telpon dan profilnya g'ada pilihan...ya aq sumit ya pasti eror,4,2024-11-13 11:39:43,negatif,,
"Untuk update cukup menguras waktu dan kuota wkwk. Karena aplikasi sirekap ini biasa update kalau aplikasi sebelumnya dihapus dulu, kemudian diinstal lagi.",2,2024-11-13 11:39:30,positif,,
Aplikasi server korup,1,2024-11-13 11:02:57,negatif,,
"aplikasi susah digunakan, eror selalu",1,2024-11-13 10:41:34,negatif,,
Okk,5,2024-11-13 09:25:41,positif,,
Aplikasi yang membagongkan,2,2024-11-13 09:09:55,negatif,,
Setiap mau dipakai ada saja kendal kendalanya,1,2024-11-13 09:08:48,negatif,,
Aplikasi sangat sulit di gunakan dan di update,1,2024-11-13 09:02:33,negatif,,
Knp ditadak dapat di perbarui min,5,2024-11-13 08:39:32,negatif,,
Aplikasi macam apa ini. Sudah di instal di update pulak malah error'.,1,2024-11-13 08:36:44,negatif,,
Kenapa lah si rekap ini selalu harus install uninstall.... Perbaikan dan perbaikan...☹️,4,2024-11-13 08:22:41,negatif,,
"Coba dong aplikasi nya yang jelas. Aplikasi log-in susah, error terus. Di Update bukannya makin bagus malah makin jele. Aplikasi yang katanya mempermudah malah jadi mempersulit. Buat developer nya pr banget nih buat memperbaiki bug.",1,2024-11-13 08:20:38,negatif,,
Good,5,2024-11-13 08:19:28,positif,,
Aplikasi gak bisa login,5,2024-11-13 08:13:09,negatif,,
Anggaran gede Aplikasi Sulit,1,2024-11-13 07:57:53,negatif,,
"Sdh dpt link dr kpu tuk masuk pasword dr kpu malh link d buka ga bsa token sudah experid sja gmna kpu ini pilkada repot bngt,,cba d perbaiki kerja nya kita yg ada d kpps d tuntut untuk segera tp ga berfungsi gmna mau kerja trs sehaurs nya prasarana dan sarana menunjang tuk semua nya,,kan sdh belajar dr pilpres kemarin",2,2024-11-13 07:54:29,negatif,,
Ok,5,2024-11-13 07:53:13,positif,,
Keren,5,2024-11-13 07:42:23,positif,,
"update wae lier, 3x instal",5,2024-11-13 07:41:59,negatif,,
Aplikasi lol,1,2024-11-13 07:29:50,negatif,,
Mantap,5,2024-11-13 07:20:51,positif,,
Lumayan sangat membantu,4,2024-11-13 07:17:54,positif,,
Pelis atuh ah... Ini penyakit dari pilpres sampe sekarang sama aja...serius dikit napa...ini tim IT nya ngelawak apa gmn... Akun duluan yg di kirim sementara apk nya msh lawas...,1,2024-11-13 07:17:34,negatif,,
good,5,2024-11-13 07:17:31,positif,,
Belum bisa pilih profil 😑😑,2,2024-11-13 07:15:28,negatif,,
Mantap,4,2024-11-13 07:12:50,positif,,
bermanfaat dan pembelajaran yg baik,4,2024-11-13 07:10:58,positif,,
Parah. Aplikasi develop biaya berapa kyak main main gini. Eror mulu diandroid 13,1,2024-11-13 07:08:16,negatif,,
"Sudah di update tapi tidak bisa login, yang bener aje. Sangat tidak ramah",1,2024-11-13 06:36:54,negatif,,
Unggah pdf gagal terus,2,2024-11-13 06:23:49,negatif,,
Aplikasi bobrok,1,2024-11-13 06:18:45,negatif,,
kalo ada rekapitulasi manual kenapa harus juga rekapitulasi online? buang2 anggaran,1,2024-11-13 05:43:04,negatif,,
mantap,5,2024-11-13 05:41:29,positif,,
DANA ELIT APLIKASI SYLITTT,1,2024-11-13 05:20:56,negatif,,
Mff nih ibu/bapak apknya sangat ribet sekali untuk sekelas apk pemerintah inimah bikin malu si dan menguras waktu dan akomodasi karna harus bimtek beberapa kali mending kalo mulus kebanyakan malah cuma bikin rusuh acara pencoblosan aja dah mending pake CamScanner aja,2,2024-11-13 05:12:30,negatif,,
Ok,5,2024-11-13 05:06:06,positif,,
"Programmer nya orang dalam mungkin ,makanya nggk becus urusin aplikasi",1,2024-11-13 04:56:01,negatif,,
Jika masih belum buat aplikasi kenapa harus maksa untuk buat. Kocak,1,2024-11-13 04:55:34,negatif,,
Mantap,5,2024-11-13 04:32:51,positif,,
"Di Update gak bisa, yg bikin nya gak mengurusi sepertinya",1,2024-11-13 04:27:36,negatif,,
Selama beberapa kali jdi penguna sirekap belum ada kemajuan,1,2024-11-13 03:40:33,negatif,,
"tolong lah bikin aplikasi yg bener, pertama install gak bisa di buka, terus verifikasi gk masuk, udh bisa masuktapi sampe sekarang gak bisa submit. gimana sih.",1,2024-11-13 03:38:01,negatif,,
Ayo dong ko lelet masuk nya,5,2024-11-13 03:06:03,negatif,,
Nyusahin orang aja ini apk juancok,1,2024-11-13 02:49:28,negatif,,
Gimana caranya update aplikasi sirekap info dulu masee,4,2024-11-13 02:19:53,netral,,
Pembaruan tgl 9 nov 2024 gak bisa di update udah download tapi gagal install mulu,1,2024-11-13 02:10:34,negatif,,
ok,5,2024-11-13 02:02:11,positif,,
Masih mempelajari materi,1,2024-11-13 01:34:01,netral,,
"Sudah donlot, sudah login. Tapiga bisa pilih profile. Gimana ini?",1,2024-11-13 01:10:23,negatif,,
"Disuruh nginstal, diinstal judule aplikasi versi ini g bisa ... 4 kali bongkar pasang belum terlihat hilalnyaa .... lhaaa terus piye",1,2024-11-13 01:10:13,negatif,,
"Ternyata aplikasinya sirekap pas mau buka """" Versi ini suda tidak dapat digunakan "" Katanya perbaikan gmna uda dicoba tetap aja yg keluar itu itu saja... Mohon cepat diperbaiki",2,2024-11-13 01:10:03,negatif,,
Aplikasi sirekapnya kedaluarsa,1,2024-11-13 01:08:45,negatif,,
Aplikasi sudah tidak bisa digunakan...kenapa gak ada update...👎,1,2024-11-13 00:58:31,negatif,,
Versi sudah kadaluarsa,1,2024-11-13 00:30:32,negatif,,
Ga bisa masuk sayang banget,2,2024-11-13 00:28:07,negatif,,
Suka eror terus ya udh pake sandi masih aja pake sidik jari /kata sandi hp hadeeh,1,2024-11-12 22:47:06,negatif,,
"aplikasi membosankan sangat menguras tenaga saat beusaha membukanya mau siang,malam, subu tetap tdk bisa... sangat melelahkan😕",1,2024-11-12 21:46:53,negatif,,
Ya mantap,3,2024-11-12 21:22:09,positif,,
Versi sudah kadaluarsa,1,2024-11-12 21:20:49,netral,,
Kenap app nya tidak dapat di gunakan?,1,2024-11-12 19:16:56,negatif,,
Tidak profesional,1,2024-11-12 18:14:02,negatif,,
Ko punya sya Masi persi lama si blm bisa persi baru,5,2024-11-12 17:46:31,negatif,,
Aplikasinya bapuk,1,2024-11-12 17:27:38,negatif,,
"Tolong dipercepatkan bosku,ini ko eror terus",3,2024-11-12 17:19:51,negatif,,
Aplikasi bosok,1,2024-11-12 17:18:40,negatif,,
Aplikasinya jelek banget gak bisa di untuk sekelas kpu aja bikin aplikasi kayaknya gini hadeh,1,2024-11-12 16:46:28,negatif,,
Good,3,2024-11-12 16:45:46,positif,,
Link dari KPU pas di klik dari PlayStore malah versi gabisa digunakan...hadeuhhhhhhhhhhhhhhhhhh,1,2024-11-12 15:52:19,negatif,,
Tak bisa dibuka. Entah siapa yang salah,1,2024-11-12 15:20:13,negatif,,
Sangat membantu untuk persiapan rekap hasil pemilu,5,2024-11-12 15:09:24,positif,,
Lemot,5,2024-11-12 15:03:24,negatif,,
Aplikasi ngak bisa di buka,2,2024-11-12 14:38:24,negatif,,
Update versi 2.71 ini masih 2.55,1,2024-11-12 14:31:39,netral,,
Otentikasinya ribet,1,2024-11-12 14:22:08,negatif,,
"Halo min, App lupa password untk login, mohon bantuannya.",4,2024-11-12 14:15:01,netral,,
Bagus,5,2024-11-12 14:03:40,positif,,
Gak jelas,1,2024-11-12 13:40:57,negatif,,
Apk nya kok gak bisa digunakan mohon solusi nya,1,2024-11-12 13:39:48,negatif,,
Bagus,5,2024-11-12 13:39:38,positif,,
aplikasi rusak ga niat bikin wkwk,1,2024-11-12 13:39:10,negatif,,
"Aplikasi sirekap mempermudah dan amana, serta aman dalam Pilkada dan Presiden.",5,2024-11-12 13:35:24,positif,,
مُمتاخ,5,2024-11-12 13:32:38,netral,,
Bagus,5,2024-11-12 13:23:20,positif,,
Bagus sirekap tp ga bisaa di buka,5,2024-11-12 13:19:06,negatif,,
Kami oprator Kpps sangat Susa utk Loding,5,2024-11-12 13:14:34,negatif,,
Ok,5,2024-11-12 13:09:42,positif,,
Tidak bisa digunakan link dari KPU tapi No.respon Ampe skrang,2,2024-11-12 13:00:22,negatif,,
Semogah kejadiannya seperti waktu pemilihan presiden DOWN. lagian aplikasi masih perlu banyak evaluasi di pake.,1,2024-11-12 12:59:20,negatif,,
Bagus,4,2024-11-12 12:57:55,positif,,
Mantap,5,2024-11-12 12:45:51,positif,,
Aplikasi bagus,5,2024-11-12 12:43:44,positif,,
SANGAT JELEK,1,2024-11-12 12:39:24,negatif,,
Aplikasi lucu,3,2024-11-12 12:31:57,netral,,
Aplikasi negara kok lucu gini,1,2024-11-12 12:29:36,negatif,,
luar biasa,4,2024-11-12 12:15:54,positif,,
"Aplikasi sirekap mungkin bisa membantu,tapi sayangnya kenapa tidak bisa di buka di TPS 011,JATIMEKAR,JATIASIH,KOTA BEKASI,JAWA BARAT",5,2024-11-12 11:50:25,negatif,,
Menggunakan si rekap pd waktu pilpres,4,2024-11-12 11:48:21,netral,,
"Aplikasi ga jelas,di suruh login paling lambat 12/11/2024,aplikasi di buka aja ga bisa,malah muncul notif aplikasi versi ini sudah tidak dapat digunakan,padahal link nya dari KPU",1,2024-11-12 11:46:05,negatif,,
Apk Ngaco,1,2024-11-12 11:44:53,negatif,,
Sekelas negara bobrok kali untuk apk ini.,1,2024-11-12 11:40:09,negatif,,
Ga bisa di pakai,1,2024-11-12 11:38:07,negatif,,
Ok,5,2024-11-12 11:28:27,positif,,
"Apaa la kpu ni, masak udah update pun ga bisa juga. Jangan gara² apk ga tidor² org di buat Padahal hp udah vivo v23 5G masak ga bisa submit",1,2024-11-12 11:22:02,negatif,,
Ok,5,2024-11-12 11:21:35,positif,,
Bagus,5,2024-11-12 11:16:44,positif,,
"Aplikasi gk jelas, beribet, ini aplikasi kpu tp bukanya mempermudah malah d persulit. Kita itu sudah bersedia membantu untuk kpu. Tp d bikin ribet dan sulit masuknya. Sudah download hapus download lg ttp z. Useless.",1,2024-11-12 11:10:01,negatif,,
Aplikasi kurang baguss,3,2024-11-12 11:08:03,negatif,,
Hp saya kok tidak di ijinkan . Kira kira solusinya gimana ya ?,3,2024-11-12 11:04:56,negatif,,
Aneh,1,2024-11-12 11:04:04,negatif,,
"Tolong bisa di buka di iphone , dan aplikasi ini seperti aplikasi yg susah berjalan. Entah drmana asalnya yg buat gk kompeten",1,2024-11-12 10:46:54,negatif,,
Aplikasi SAMPAH .. gak bisa apa lu pada bikin aplikasi ajg,1,2024-11-12 10:46:07,negatif,,
Ok,5,2024-11-12 10:41:26,positif,,
Versi ini sudah tidak dapat digunakan ....?,1,2024-11-12 10:32:23,negatif,,
ANEH. Seharus nya belajar dari pengalam pilpres . Ini malah tambah parah susah masuk nya,1,2024-11-12 10:27:28,negatif,,
Aplikasinya belum bisa di gunakan,5,2024-11-12 10:14:23,negatif,,
Kabarin kalo udah bisa di buka dehh,2,2024-11-12 10:06:43,netral,,
Ok,5,2024-11-12 10:04:46,positif,,
Mntap,5,2024-11-12 09:55:42,netral,,
Gini amat bikin aplikasinya kaya yg glk niat banget .,1,2024-11-12 09:54:28,negatif,,
aneh gk bisa di buka,5,2024-11-12 09:50:46,negatif,,
ga bs terbuka.mohon untuk diupdate agar bs masuk,1,2024-11-12 09:46:32,negatif,,
Bobbrok,1,2024-11-12 09:20:48,negatif,,
Aplikasi terbaik 🤣,1,2024-11-12 09:13:39,positif,,
Mantap,5,2024-11-12 08:59:34,positif,,
"Yang bermasalah apk nya,,, kpps yang kena semprot pps. Korupsi digedein, bikin apk untuk bangsa kek gak modal gini.",1,2024-11-12 08:58:50,negatif,,
Pengen maju tapi kyk gini amat sistemnya hdeh,1,2024-11-12 08:58:30,negatif,,
Kenapa tidak bisa di buka appnya,1,2024-11-12 08:52:56,negatif,,
Aplikasi gak bagus kok dipakai buat bangsa Lucu jasa Memalukan,1,2024-11-12 08:42:10,negatif,,
Mantap dan sederhana,5,2024-11-12 08:28:39,positif,,
Aplikasi g jelas masih aj di pake..skrang malah aplikasi versi tidak dapat digunakan,1,2024-11-12 08:15:10,negatif,,
Aku kasih bintang satu,1,2024-11-12 08:09:04,netral,,
Susah,1,2024-11-12 08:02:32,negatif,,
Semoga bisa diperbaiki lagi,3,2024-11-12 07:45:57,negatif,,
Semoga tak ada kendala dan sudah diperbaharui apknya,5,2024-11-12 07:31:39,negatif,,
"Ra keno d install ""Aplikasi versi ini sudah tidakdapat digunakan"" 😮‍💨",1,2024-11-12 07:17:51,negatif,,
Kalau memang belum siap jangan langsung di praktekan . Siap kan dulu apk nya dengan baik . Masa eror mulu. Cair banyak nih .,1,2024-11-12 07:07:31,negatif,,
Mudah2an lancar,5,2024-11-12 07:05:35,positif,,
Aplikasi pemerintah semua sama,4,2024-11-12 06:56:13,netral,,
Tidak bisa di gunakan,2,2024-11-12 06:56:11,negatif,,
Ok,5,2024-11-12 06:48:11,positif,,
Bukan membantu malah makin susah sekelas pemerintah,1,2024-11-12 06:44:10,negatif,,
Mantep,5,2024-11-12 06:42:17,netral,,
"susah banget login,pas bisa login malah log out sendiri",1,2024-11-12 06:21:47,negatif,,
Sangat luar biasa,5,2024-11-12 06:19:25,positif,,
Kpu luar biasa,5,2024-11-12 06:08:47,positif,,
Aplikasi nob,2,2024-11-12 05:59:45,negatif,,
Saya perna menjadi bagian pengumuman suara,5,2024-11-12 05:30:21,negatif,,
Kalau tidak bisa bikin apk Mending pake google form aja 🤣🤣🤣,1,2024-11-12 05:23:23,negatif,,
Saya dari kemarin tidak bisa login .. sampai gnti pasword 5x ..,1,2024-11-12 05:16:22,negatif,,
Siap,5,2024-11-12 05:07:47,netral,,
Gimana nie g bisa dibuka,2,2024-11-12 04:56:23,netral,,
Error tidak bisa di Gunakan,1,2024-11-12 04:53:06,negatif,,
"Susah login, pemakaian sangat tidak praktis, fitur² ora jelas, dan gak ada fitur create new akun, pokoknya nih aplikasi minim fitur, aplikasi miskis",1,2024-11-12 04:49:33,negatif,,
Ok,5,2024-11-12 04:42:17,positif,,
"wkwkwk padahal baru tadi dapet sms disuruh instal apknya pas di instal malah error ga jellas wkwk,apk pemerintah gini amat ga bisa update dan malahan saat masuk apk nya udah ga bisa digunakan karna versinya udah terlalu jadul hahahahaha",1,2024-11-12 04:42:06,negatif,,
Mudah,3,2024-11-12 04:35:33,positif,,
Apa yg bisa diharapkan dari aplikasi bawaan pemerintah. Astagaaaaa,1,2024-11-12 04:31:25,negatif,,
lemot,1,2024-11-12 04:29:09,negatif,,
Bagus,5,2024-11-12 04:28:53,positif,,
Sagat bagus,5,2024-11-12 04:27:27,positif,,
"Tadi Pagi sya Dapat WA dari KPU Untuk install, setelah install Selesai di buka , gak Bisa ada kata2: Aplikasi versi ini, Sudah Tidak dapat digunakan Ini angel tuturane dikasih deadline 19-11-2024",3,2024-11-12 04:21:56,negatif,,
Oke,5,2024-11-12 04:17:28,positif,,
"Ai sakirana apk can siap pake mah ulah waka dititah install atuhlah.. Sekelas apk yg notabene-nya milik KPU kos kieu patut.. Nu baleg atuh nyieun apk teh, ciga euweuh jalma pinter wae..",1,2024-11-12 04:14:26,negatif,,
Bisa tolong kalo Lupa kata sandi gimana cara mengatasinya ??,3,2024-11-12 04:13:24,netral,,
Aplikasi ga jelas,1,2024-11-12 04:13:15,negatif,,
LOADING,3,2024-11-12 03:44:08,negatif,,
Tidak cuma memperlama tolong jangan dikorupsilah buat bikin aplikasi,1,2024-11-12 03:36:40,negatif,,
Good,5,2024-11-12 03:31:41,positif,,
"dikirim WA disuruh login, kocak app nya aja belum siap, gimana sih?",1,2024-11-12 03:23:31,negatif,,
Aplikasi kurang bekerja dgn sampurna,1,2024-11-12 03:17:57,negatif,,
"Mau sampai kapan ini update nya sedangkan pemilihan udah 2 minggu lagi, tolong dong kpu dipercepat inikan belum login nya terkadang suka eror tuh",2,2024-11-12 03:12:31,negatif,,
Tidak bisa masuk,1,2024-11-12 02:58:24,negatif,,
"Aplikasinya malu maluin, ga update, sekelas negara Indonesia",1,2024-11-12 02:58:24,negatif,,
"Versi usang, untuk pilkada 2024",1,2024-11-12 02:55:57,negatif,,
"Kasian aplikasi pemerintah kok gini, miris!!",1,2024-11-12 02:39:31,negatif,,
Baru mendaptar,5,2024-11-12 01:53:01,netral,,
Aplikasi gak bisa di gunakan,2,2024-11-12 01:44:45,negatif,,
Bagimna ini e.........😡😡,1,2024-11-12 01:15:17,netral,,
"Maaf saran saja Supaya petugas KPPS, terutama yg menjadi petugas Sirekap tidak meragukan keamanan data yg di HP, seharusnya aplikasi yg di pakai bukan APK. Kenapa ? Karena aplikasi APK sering digunakan sebagai tindak kejahatan perbankan, orang yg meng instal APK punya aplukasi mobil banking saldonya dapat terkuras. Terimakasih Salam",4,2024-11-12 01:13:03,negatif,,
coba yg buat apk jangan bikin pusing,1,2024-11-12 01:00:51,negatif,,
Aplikasi ini sangatlah bagus akan tetapi masih ada kekurangannya.,5,2024-11-12 00:56:07,positif,,
Apk sudah di donload tpi tdak bisa digunakan,1,2024-11-12 00:41:30,negatif,,
mudah mudah apk berjalan lancar,5,2024-11-12 00:31:18,positif,,
Tidak bisa di gunakan,1,2024-11-12 00:08:51,negatif,,
Mohon untuk segera memperbaiki ke versi yang sesuai ... Agar bisa digunakan oleh petugas sirekap . Saya disini sirekap 1 belum bisa login aplikasi tersebut .,1,2024-11-12 00:05:18,negatif,,
Sangat baik,5,2024-11-11 23:47:17,positif,,
Aplikasi versi ini sudah tidak dapat digunakan 🙏🏻,1,2024-11-11 23:45:47,negatif,,
Mantap....,5,2024-11-11 23:25:14,positif,,
Belum bisa di buka,5,2024-11-11 23:22:50,negatif,,
"Tidak bisa di gunakan, pilkada tiggal ngitung hari",1,2024-11-11 22:52:14,negatif,,
Tidak bisa di buka aplikasinya. Klo sekiranya belum siap bikin aplikasi jgn dulu di share lah app nya.,1,2024-11-11 22:51:13,negatif,,
Bikin kaya gini kan... ngeluarin duit banyak...tp kenapa aplikasinya bgini hadeuh... pemerintah,1,2024-11-11 22:42:41,negatif,,
serius ini gak bisa di download di ip nih??,1,2024-11-11 22:41:08,negatif,,
Kenapa saya tdk bisa buka aplikasi ini,3,2024-11-11 22:22:36,negatif,,
"Tidak bisa digunakan, ngga bisa login",1,2024-11-11 22:12:09,negatif,,
Aplikasinya lucu sekali aneh,1,2024-11-11 21:57:27,negatif,,
"min, ini masa di hp ku (vivo) ngestuck di bagian suruh pilih rekapitulasi, bimtek dll?? gak mau login kocak",2,2024-11-11 21:37:20,negatif,,
Gak bisa login macam mana ini,1,2024-11-11 19:58:41,negatif,,
Untuk memudahkan file,5,2024-11-11 19:43:25,positif,,
Aplikasinya sekelas dengan SDM dipemerintahannya.,1,2024-11-11 17:56:42,negatif,,
Ok,5,2024-11-11 17:17:05,positif,,
"Saat dibutuhkan dan dipakai pada hari H, tidak berguna wkwkwk",3,2024-11-11 16:11:52,negatif,,
Ko ga bisa di buka yah???,1,2024-11-11 15:57:47,negatif,,
Aplikasi sangat bagus dan mempersulit,1,2024-11-11 15:49:58,negatif,,
ga bisa dibuka,3,2024-11-11 15:43:26,negatif,,
Lemot,2,2024-11-11 15:26:24,negatif,,
Aplikasi ga jelas,1,2024-11-11 15:09:59,negatif,,
mantap,5,2024-11-11 15:08:28,positif,,
Koq versi ini gak bisa digunakan.. Apa sengaja di off dulu 😆😆,3,2024-11-11 15:06:16,negatif,,
"masa aplikasinya gabisa masuk2 terus sih padahal sudah diulang beberapa kali,percuma saya update teknologi kalau aplikasinya masih kayak gini",1,2024-11-11 15:01:24,negatif,,
Mantap,5,2024-11-11 14:55:04,positif,,
Ok,5,2024-11-11 14:54:58,positif,,
Ko kenapa tidak bisa di gunakan,5,2024-11-11 14:52:56,negatif,,
aplikasi ini tidak bisa di upgrade pada versi berikutnya,1,2024-11-11 14:31:10,negatif,,
Tidak bisa login!,1,2024-11-11 14:24:12,negatif,,
Ok,5,2024-11-11 14:12:01,positif,,
Dari masa pemilu nape si ah bikin puyeng terus,1,2024-11-11 13:55:04,negatif,,
Memuaskan,5,2024-11-11 13:44:07,positif,,
Untuk pilkada apakah sudah di update,5,2024-11-11 13:33:34,netral,,
Aplikasi TDK bs di gunakan di hp saya.poco X3 pro iOS 14,5,2024-11-11 13:14:37,negatif,,
Mantap,3,2024-11-11 13:02:29,positif,,
"Apk tolol buat gini aja gak becus,giliran korup baru pada pintar.",1,2024-11-11 13:01:12,negatif,,
Update versi nyaaa,3,2024-11-11 12:58:36,netral,,
Versi berapa yg bagus ? Dan bh Isa terbuka ?,5,2024-11-11 12:56:14,positif,,
Aplikasi bobrok....tlg google hapus saja apps ini dari playstore...ini apps kategory spam...,1,2024-11-11 12:54:45,negatif,,
Versi terbaru kapan diupgrade?,3,2024-11-11 12:48:31,netral,,
Gk update,1,2024-11-11 12:45:39,negatif,,
Kaga bisa di buka,1,2024-11-11 12:37:16,negatif,,
Bosokk,1,2024-11-11 12:20:53,negatif,,
Sudah tidak dapat di gunakan versi ini,5,2024-11-11 12:16:40,negatif,,
Ini sudah berkali² saya unistal tetap tidak bisa di loggin,2,2024-11-11 12:09:06,negatif,,
Belum terapdut,1,2024-11-11 12:04:47,negatif,,
"Utk sirekap versi trbaru, tautan link nya sy terima d group admin sirekap dan itu sdh versi 2.71 , kl yg d playstore ini msh versi 2.55. KPPS bs tnya k PPS atau PPK trkait tautan link download nya. Jd mreka yg download dr play store ada ket aplikasi tdk berlaku / tdk bs d pergunakan. 🙏",3,2024-11-11 12:00:40,negatif,,
Terimakasih sangat membantu pada Kpps,5,2024-11-11 11:53:50,positif,,
Ga bisa buka aplikasi ya,1,2024-11-11 11:44:56,negatif,,
Aplikasi versi ini sudah tidak bisa digunakan 😭,2,2024-11-11 11:43:37,negatif,,
"Gagal mendapatkan kuci digital, katanya di suruh clear data apk dulu, udh dilakuin, ttp aja, nggk bisa, knp?, pusing dr kemarin nyoba berbagai cara, ttp aja nggk bisa.",1,2024-11-11 11:43:24,negatif,,
Bagus,5,2024-11-11 11:40:31,positif,,
Negara besar belum mampu atau memang sengaja tdk dimampukan menyediakan aplikasi untuk hajat nasional sepenting ini.... Memalukan,1,2024-11-11 11:37:16,negatif,,
susah,1,2024-11-11 11:32:56,negatif,,
Juruani susanti,5,2024-11-11 11:29:52,netral,,
Saya mendaftar Anggota kpps sebagai posisi apk sirekap saya sudah menerima link dan verifikasi untuk login namuh aplikasi sirekap tetap tidak bisa di buka tolong bantu saya,2,2024-11-11 11:28:56,negatif,,
Aplikasi yang dikirim kpu langsung tapi versi yang tidak bisa dibuka kocak,1,2024-11-11 11:06:39,negatif,,
siiip,5,2024-11-11 10:55:14,netral,,
Bagus,5,2024-11-11 10:53:57,positif,,
Ternyata versi nya masih belum di upgrade,3,2024-11-11 10:32:25,negatif,,
"Baru saja download, trus mau login, tulisan nya aplikasi ini sudah tidak di gunakan.. Punya pemerintah lho ini wkwk",1,2024-11-11 10:24:38,negatif,,
ok,5,2024-11-11 10:19:36,positif,,
Bagus,5,2024-11-11 10:17:22,positif,,
Sangat membantu,5,2024-11-11 10:09:45,positif,,
Udah di instal tapi gak bisa login kenapa yah ???,2,2024-11-11 10:04:37,negatif,,
Ga bisa terpakai,1,2024-11-11 10:02:37,negatif,,
Eror mulu,1,2024-11-11 10:01:22,negatif,,
Baik,5,2024-11-11 10:00:37,positif,,
Bagud,5,2024-11-11 09:55:56,positif,,
Ngeleg,5,2024-11-11 09:50:11,negatif,,
"siap, untuk update sirekap",5,2024-11-11 09:43:51,netral,,
Bagussss,5,2024-11-11 09:38:40,positif,,
Sudah tidak bisa digunakan,1,2024-11-11 09:32:18,negatif,,
Sangat membantu dalam rekap,5,2024-11-11 09:24:20,positif,,
Sangat lucu ya aplikasi pemerintah kok seperti ini... Hampir semua smartphone tidak bisa terinstal Aneh sekali,1,2024-11-11 09:16:55,negatif,,
Ko nggak bisa masuk padahal kemarin bisa langsung masuk sekarang malah kesana kesini versi sudah tidak bisa di gunakan,1,2024-11-11 09:00:37,negatif,,
Bagus,5,2024-11-11 08:58:09,positif,,
Prangkat tidak kompatibel rungkaadd,1,2024-11-11 08:57:57,negatif,,
Good,5,2024-11-11 08:56:26,positif,,
Aplikasi tidak bisa di buka,5,2024-11-11 08:49:15,negatif,,
Ada masalah apa sih kawan Aku pake hp dengan versi android 14. Kenapa ngga bisa buat ngebuka,1,2024-11-11 08:47:02,netral,,
Mudah-mudahan bisa memudahkan pekerjaan sebagai petugas KPPS,3,2024-11-11 08:28:08,positif,,
Ok,5,2024-11-11 08:03:51,positif,,
PERLU PERBAIKAN,1,2024-11-11 08:03:31,netral,,
Tlg di upgared donk,5,2024-11-11 08:03:14,netral,,
"Kita menemukan bebrapa bug, di aplikasinya. sedikit kritik aplikasi sekelas pemerintahan seharusnya malu.",1,2024-11-11 07:59:03,negatif,,
Pilkada 2024,4,2024-11-11 07:58:59,netral,,
Pernah menjadi Anggota kpps,2,2024-11-11 07:57:08,netral,,
"Agak aneh soalnya,,, Aplikasi tidak bisa digunakan lagi, padahal kita baru loging perdana.",5,2024-11-11 07:41:51,negatif,,
App nya ga bisa submit,1,2024-11-11 07:37:52,negatif,,
"Kasih jempol saja tapi kebawah. Jelek, belum siap digunakan, memaksakan, meresahkan",1,2024-11-11 07:34:39,negatif,,
Apk nya paya,2,2024-11-11 07:29:18,negatif,,
Mantap,5,2024-11-11 07:23:40,positif,,  
Berjalan dengan Sukses,5,2024-11-11 07:15:53,positif,,
kenapa gak bisa di buka,2,2024-11-11 06:54:05,negatif,,
Best,5,2024-11-11 06:53:12,positif,,
Sangat tepat,5,2024-11-11 06:51:52,positif,,
"Pengalaman saya menggunakan aplikasi ini sangat bagus,karena dokumen² yang ada didalamny orang tidak tahu selain kita.",5,2024-11-11 06:43:48,negatif,,
Aplikasi yg sangat jelek sudah didownload tapi tidak bisa dibuka,1,2024-11-11 06:41:56,negatif,,
Afk perlu di kembangkan kambeli,1,2024-11-11 06:41:32,negatif,,
"Baru donlod aplikasi, suruh pasang kunci layar, udah gitu ga bisa jg. Trus suruh kunci pakai sidik jari. Aku yg ga pernah ngunci hp, jd bingung sendiri.",2,2024-11-11 06:39:34,negatif,,
Cara mempersulit hidup 🤣,1,2024-11-11 06:27:42,negatif,,
Bagus aplikasi ini,3,2024-11-11 05:59:57,positif,,
Ribet,1,2024-11-11 05:15:51,negatif,,
Ok,5,2024-11-11 05:11:49,positif,,
Penggunaan aplikasi ini mudah,4,2024-11-11 05:08:34,positif,,
Udh ke download tapi gak bisa dibuka,1,2024-11-11 05:06:37,negatif,,
Terlalu buruk.,1,2024-11-11 05:05:30,negatif,,
"Aplikasi versi ini tidak dapat di gunakan,coba tolong dibuatkan pembaruannya/updatenya ,",1,2024-11-11 05:02:52,negatif,,
Ok,5,2024-11-11 04:57:46,positif,,
"Yang buat aplikasi tolong di benerin lah, masa bentar lagi apk mau di pake ada tulisan apk ini tidak dapat di gunakan, terus di grup malah di kasih link buat instal apk. Mana pas di klik muncul itu apk berbahaya, bisa ada virus nya, bisa nyuri data juga, bisa bocor informasi di hp juga. Piye toh. Kita tuh cuma mau kerja, kalau mau memfasilitasi yang bener dong bikin apk nya. Sekelas pemerintah ko bikin aplikasi gak karuan gini. Plin plan. Musingin yang make aja. Tambah pajuriwet",1,2024-11-11 04:50:45,negatif,,
