content,score,label
"Sudah donlot, sudah login. Tapiga bisa pilih profile. Gimana ini?",1,Negatif
"Disuruh nginstal, diinstal judule aplikasi versi ini g bisa ... 4 kali bongkar pasang belum terlihat hilalnyaa .... lhaaa terus piye",1,Negatif
"Ternyata aplikasinya sirekap pas mau buka """" Versi ini suda tidak dapat digunakan "" Katanya perbaikan gmna uda dicoba tetap aja yg keluar itu itu saja... Mohon cepat diperbaiki",2,Negatif
Aplikasi sirekapnya kedaluarsa,1,Negatif
Aplikasi sudah tidak bisa digunakan...kenapa gak ada update...👎,1,Negatif
Versi sudah kadaluarsa,1,Negatif
Ga bisa masuk sayang banget,2,Negatif
Suka eror terus ya udh pake sandi masih aja pake sidik jari /kata sandi hp hadeeh,1,Negatif
"aplikasi membosankan sangat menguras tenaga saat beusaha membukanya mau siang,malam, subu tetap tdk bisa... sangat melelahkan😕",1,Negatif
Ya mantap,3,Positif
Versi sudah kadaluarsa,1,Negatif
Kenap app nya tidak dapat di gunakan?,1,Negatif
Tidak profesional,1,Negatif
Ko punya sya Masi persi lama si blm bisa persi baru,5,Negatif
Aplikasinya bapuk,1,Negatif
"Tolong dipercepatkan bosku,ini ko eror terus",3,Negatif
Aplikasi bosok,1,Negatif
Aplikasinya jelek banget gak bisa di untuk sekelas kpu aja bikin aplikasi kayaknya gini hadeh,1,Negatif
Good,3,Positif
Link dari KPU pas di klik dari PlayStore malah versi gabisa digunakan...hadeuhhhhhhhhhhhhhhhhhh,1,Negatif
Tak bisa dibuka. Entah siapa yang salah,1,Negatif
Sangat membantu untuk persiapan rekap hasil pemilu,5,Positif
Lemot,5,Negatif
Aplikasi ngak bisa di buka,2,Negatif
Update versi 2.71 ini masih 2.55,1,Negatif
Otentikasinya ribet,1,Negatif
"Halo min, App lupa password untk login, mohon bantuannya.",4,Netral
Bagus,5,Positif
Gak jelas,1,Negatif
Apk nya kok gak bisa digunakan mohon solusi nya,1,Negatif
Bagus,5,Positif
aplikasi rusak ga niat bikin wkwk,1,Negatif
"Aplikasi sirekap mempermudah dan amana, serta aman dalam Pilkada dan Presiden.",5,Positif
Bagus,5,Positif
Bagus sirekap tp ga bisaa di buka,5,Netral
Kami oprator Kpps sangat Susa utk Loding,5,Negatif
Ok,5,Positif
Tidak bisa digunakan link dari KPU tapi No.respon Ampe skrang,2,Negatif
Semogah kejadiannya seperti waktu pemilihan presiden DOWN. lagian aplikasi masih perlu banyak evaluasi di pake.,1,Negatif
Bagus,4,Positif
Mantap,5,Positif
Aplikasi bagus,5,Positif
SANGAT JELEK,1,Negatif
Aplikasi lucu,3,Netral
Aplikasi negara kok lucu gini,1,Negatif
luar biasa,4,Positif
"Aplikasi sirekap mungkin bisa membantu,tapi sayangnya kenapa tidak bisa di buka di TPS 011,JATIMEKAR,JATIASIH,KOTA BEKASI,JAWA BARAT",5,Negatif
Menggunakan si rekap pd waktu pilpres,4,Netral
"Aplikasi ga jelas,di suruh login paling lambat 12/11/2024,aplikasi di buka aja ga bisa,malah muncul notif aplikasi versi ini sudah tidak dapat digunakan,padahal link nya dari KPU",1,Negatif
Apk Ngaco,1,Negatif
Sekelas negara bobrok kali untuk apk ini.,1,Negatif
Ga bisa di pakai,1,Negatif
Ok,5,Positif
"Apaa la kpu ni, masak udah update pun ga bisa juga. Jangan gara² apk ga tidor² org di buat Padahal hp udah vivo v23 5G masak ga bisa submit",1,Negatif
Ok,5,Positif
Bagus,5,Positif
"Aplikasi gk jelas, beribet, ini aplikasi kpu tp bukanya mempermudah malah d persulit. Kita itu sudah bersedia membantu untuk kpu. Tp d bikin ribet dan sulit masuknya. Sudah download hapus download lg ttp z. Useless.",1,Negatif
Aplikasi kurang baguss,3,Netral
Hp saya kok tidak di ijinkan . Kira kira solusinya gimana ya ?,3,Netral
Aneh,1,Negatif
"Tolong bisa di buka di iphone , dan aplikasi ini seperti aplikasi yg susah berjalan. Entah drmana asalnya yg buat gk kompeten",1,Negatif
Aplikasi SAMPAH .. gak bisa apa lu pada bikin aplikasi ajg,1,Negatif
Ok,5,Positif
Versi ini sudah tidak dapat digunakan ....?,1,Negatif
ANEH. Seharus nya belajar dari pengalam pilpres . Ini malah tambah parah susah masuk nya,1,Negatif
Aplikasinya belum bisa di gunakan,5,Negatif
Kabarin kalo udah bisa di buka dehh,2,Negatif
Ok,5,Positif
Mntap,5,Positif
Gini amat bikin aplikasinya kaya yg glk niat banget .,1,Negatif
aneh gk bisa di buka,5,Negatif
ga bs terbuka.mohon untuk diupdate agar bs masuk,1,Negatif
Bobbrok,1,Negatif
Aplikasi terbaik 🤣,1,Negatif
Mantap,5,Positif
"Yang bermasalah apk nya,,, kpps yang kena semprot pps. Korupsi digedein, bikin apk untuk bangsa kek gak modal gini.",1,Negatif
Pengen maju tapi kyk gini amat sistemnya hdeh,1,Negatif
Kenapa tidak bisa di buka appnya,1,Negatif
Aplikasi gak bagus kok dipakai buat bangsa Lucu jasa Memalukan,1,Negatif
Mantap dan sederhana,5,Positif
Aplikasi g jelas masih aj di pake..skrang malah aplikasi versi tidak dapat digunakan,1,Negatif
Aku kasih bintang satu,1,Negatif
Susah,1,Negatif
Semoga bisa diperbaiki lagi,3,Netral
Semoga tak ada kendala dan sudah diperbaharui apknya,5,Netral
"Ra keno d install ""Aplikasi versi ini sudah tidakdapat digunakan"" 😮‍💨",1,Negatif
Kalau memang belum siap jangan langsung di praktekan . Siap kan dulu apk nya dengan baik . Masa eror mulu. Cair banyak nih .,1,Negatif
Mudah2an lancar,5,Positif
Aplikasi pemerintah semua sama,4,Negatif
Tidak bisa di gunakan,2,Negatif
Ok,5,Positif
Bukan membantu malah makin susah sekelas pemerintah,1,Negatif
Mantep,5,Positif
"susah banget login,pas bisa login malah log out sendiri",1,Negatif
Sangat luar biasa,5,Positif
Kpu luar biasa,5,Positif
Aplikasi nob,2,Negatif
Saya perna menjadi bagian pengumuman suara,5,Negatif
Kalau tidak bisa bikin apk Mending pake google form aja 🤣🤣🤣,1,Negatif
Saya dari kemarin tidak bisa login .. sampai gnti pasword 5x ..,1,Negatif
Siap,5,Positif
Gimana nie g bisa dibuka,2,Negatif
Error tidak bisa di Gunakan,1,Negatif
"Susah login, pemakaian sangat tidak praktis, fitur² ora jelas, dan gak ada fitur create new akun, pokoknya nih aplikasi minim fitur, aplikasi miskis",1,Negatif
Ok,5,Positif
"wkwkwk padahal baru tadi dapet sms disuruh instal apknya pas di instal malah error ga jellas wkwk,apk pemerintah gini amat ga bisa update dan malahan saat masuk apk nya udah ga bisa digunakan karna versinya udah terlalu jadul hahahahaha",1,Negatif
Mudah,3,Positif
Apa yg bisa diharapkan dari aplikasi bawaan pemerintah. Astagaaaaa,1,Negatif
lemot,1,Negatif
Bagus,5,Positif
Sagat bagus,5,Positif
"Tadi Pagi sya Dapat WA dari KPU Untuk install, setelah install Selesai di buka , gak Bisa ada kata2: Aplikasi versi ini, Sudah Tidak dapat digunakan Ini angel tuturane dikasih deadline 19-11-2024",3,Netral
Oke,5,Positif
"Ai sakirana apk can siap pake mah ulah waka dititah install atuhlah.. Sekelas apk yg notabene-nya milik KPU kos kieu patut.. Nu baleg atuh nyieun apk teh, ciga euweuh jalma pinter wae..",1,Negatif
Bisa tolong kalo Lupa kata sandi gimana cara mengatasinya ??,3,Netral
Aplikasi ga jelas,1,Negatif
LOADING,3,Negatif
Tidak cuma memperlama tolong jangan dikorupsilah buat bikin aplikasi,1,Negatif
Good,5,Positif
"dikirim WA disuruh login, kocak app nya aja belum siap, gimana sih?",1,Negatif
Aplikasi kurang bekerja dgn sampurna,1,Negatif
"Mau sampai kapan ini update nya sedangkan pemilihan udah 2 minggu lagi, tolong dong kpu dipercepat inikan belum login nya terkadang suka eror tuh",2,Negatif
"Aplikasinya malu maluin, ga update, sekelas negara Indonesia",1,Negatif
Tidak bisa masuk,1,Negatif
"Versi usang, untuk pilkada 2024",1,Negatif
"Kasian aplikasi pemerintah kok gini, miris!!",1,Negatif
Baru mendaptar,5,Netral
Aplikasi gak bisa di gunakan,2,Negatif
Bagimna ini e.........😡😡,1,Negatif
"Maaf saran saja Supaya petugas KPPS, terutama yg menjadi petugas Sirekap tidak meragukan keamanan data yg di HP, seharusnya aplikasi yg di pakai bukan APK. Kenapa ? Karena aplikasi APK sering digunakan sebagai tindak kejahatan perbankan, orang yg meng instal APK punya aplukasi mobil banking saldonya dapat terkuras. Terimakasih Salam",4,Negatif
coba yg buat apk jangan bikin pusing,1,Negatif
Aplikasi ini sangatlah bagus akan tetapi masih ada kekurangannya.,5,Netral
Apk sudah di donload tpi tdak bisa digunakan,1,Negatif
mudah mudah apk berjalan lancar,5,Positif
Tidak bisa di gunakan,1,Negatif
Mohon untuk segera memperbaiki ke versi yang sesuai ... Agar bisa digunakan oleh petugas sirekap . Saya disini sirekap 1 belum bisa login aplikasi tersebut .,1,Negatif
Sangat baik,5,Positif
Aplikasi versi ini sudah tidak dapat digunakan 🙏🏻,1,Negatif
Mantap....,5,Positif
Belum bisa di buka,5,Negatif
"Tidak bisa di gunakan, pilkada tiggal ngitung hari",1,Negatif
Tidak bisa di buka aplikasinya. Klo sekiranya belum siap bikin aplikasi jgn dulu di share lah app nya.,1,Negatif
Bikin kaya gini kan... ngeluarin duit banyak...tp kenapa aplikasinya bgini hadeuh... pemerintah,1,Negatif
serius ini gak bisa di download di ip nih??,1,Negatif
Kenapa saya tdk bisa buka aplikasi ini,3,Negatif
"Tidak bisa digunakan, ngga bisa login",1,Negatif
Aplikasinya lucu sekali aneh,1,Negatif
"min, ini masa di hp ku (vivo) ngestuck di bagian suruh pilih rekapitulasi, bimtek dll?? gak mau login kocak",2,Negatif
Gak bisa login macam mana ini,1,Negatif
Untuk memudahkan file,5,Positif
Aplikasinya sekelas dengan SDM dipemerintahannya.,1,Negatif
Ok,5,Positif
"Saat dibutuhkan dan dipakai pada hari H, tidak berguna wkwkwk",3,Negatif
Ko ga bisa di buka yah???,1,Negatif
Aplikasi sangat bagus dan mempersulit,1,Negatif
ga bisa dibuka,3,Negatif
Lemot,2,Negatif
Aplikasi ga jelas,1,Negatif
mantap,5,Positif
Koq versi ini gak bisa digunakan.. Apa sengaja di off dulu 😆😆,3,Negatif
"masa aplikasinya gabisa masuk2 terus sih padahal sudah diulang beberapa kali,percuma saya update teknologi kalau aplikasinya masih kayak gini",1,Negatif
Mantap,5,Positif
Ok,5,Positif
Ko kenapa tidak bisa di gunakan,5,Negatif
aplikasi ini tidak bisa di upgrade pada versi berikutnya,1,Negatif
Tidak bisa login!,1,Negatif
Ok,5,Positif
Dari masa pemilu nape si ah bikin puyeng terus,1,Negatif
Memuaskan,5,Positif
Untuk pilkada apakah sudah di update,5,Netral
Aplikasi TDK bs di gunakan di hp saya.poco X3 pro iOS 14,5,Negatif
Mantap,3,Positif
"Apk tolol buat gini aja gak becus,giliran korup baru pada pintar.",1,Negatif
Update versi nyaaa,3,Netral
Versi berapa yg bagus ? Dan bh Isa terbuka ?,5,Netral
Aplikasi bobrok....tlg google hapus saja apps ini dari playstore...ini apps kategory spam...,1,Negatif
Versi terbaru kapan diupgrade?,3,Netral
Gk update,1,Negatif
Kaga bisa di buka,1,Negatif
Bosokk,1,Negatif
Sudah tidak dapat di gunakan versi ini,5,Negatif
Ini sudah berkali² saya unistal tetap tidak bisa di loggin,2,Negatif
Belum terapdut,1,Negatif
"Utk sirekap versi trbaru, tautan link nya sy terima d group admin sirekap dan itu sdh versi 2.71 , kl yg d playstore ini msh versi 2.55. KPPS bs tnya k PPS atau PPK trkait tautan link download nya. Jd mreka yg download dr play store ada ket aplikasi tdk berlaku / tdk bs d pergunakan. 🙏",3,Netral
Terimakasih sangat membantu pada Kpps,5,Positif
Ga bisa buka aplikasi ya,1,Negatif
Aplikasi versi ini sudah tidak bisa digunakan 😭,2,Negatif
"Gagal mendapatkan kuci digital, katanya di suruh clear data apk dulu, udh dilakuin, ttp aja, nggk bisa, knp?, pusing dr kemarin nyoba berbagai cara, ttp aja nggk bisa.",1,Negatif
Bagus,5,Positif
Negara besar belum mampu atau memang sengaja tdk dimampukan menyediakan aplikasi untuk hajat nasional sepenting ini.... Memalukan,1,Negatif
susah,1,Negatif
Juruani susanti,5,Netral
Saya mendaftar Anggota kpps sebagai posisi apk sirekap saya sudah menerima link dan verifikasi untuk login namuh aplikasi sirekap tetap tidak bisa di buka tolong bantu saya,2,Negatif
Aplikasi yang dikirim kpu langsung tapi versi yang tidak bisa dibuka kocak,1,Negatif
siiip,5,Positif
Bagus,5,Positif
Ternyata versi nya masih belum di upgrade,3,Netral
"Baru saja download, trus mau login, tulisan nya aplikasi ini sudah tidak di gunakan.. Punya pemerintah lho ini wkwk",1,Negatif
ok,5,Positif
Bagus,5,Positif
Sangat membantu,5,Positif
Udah di instal tapi gak bisa login kenapa yah ???,2,Negatif
Ga bisa terpakai,1,Negatif
Eror mulu,1,Negatif
Baik,5,Positif
Bagud,5,Positif
Ngeleg,5,Negatif
"siap, untuk update sirekap",5,Netral
Bagussss,5,Positif
Sudah tidak bisa digunakan,1,Negatif
Sangat membantu dalam rekap,5,Positif
Sangat lucu ya aplikasi pemerintah kok seperti ini... Hampir semua smartphone tidak bisa terinstal Aneh sekali,1,Negatif
Ko nggak bisa masuk padahal kemarin bisa langsung masuk sekarang malah kesana kesini versi sudah tidak bisa di gunakan,1,Negatif
Bagus,5,Positif
Prangkat tidak kompatibel rungkaadd,1,Negatif
Good,5,Positif
Aplikasi tidak bisa di buka,5,Negatif
Ada masalah apa sih kawan Aku pake hp dengan versi android 14. Kenapa ngga bisa buat ngebuka,1,Negatif
Mudah-mudahan bisa memudahkan pekerjaan sebagai petugas KPPS,3,Netral
Ok,5,Positif
PERLU PERBAIKAN,1,Negatif
Tlg di upgared donk,5,Negatif
"Kita menemukan bebrapa bug, di aplikasinya. sedikit kritik aplikasi sekelas pemerintahan seharusnya malu.",1,Negatif
Pilkada 2024,4,Netral
Pernah menjadi Anggota kpps,2,Negatif
"Agak aneh soalnya,,, Aplikasi tidak bisa digunakan lagi, padahal kita baru loging perdana.",5,Negatif
App nya ga bisa submit,1,Negatif
"Kasih jempol saja tapi kebawah. Jelek, belum siap digunakan, memaksakan, meresahkan",1,Negatif
Apk nya paya,2,Negatif
Mantap,5,Positif
Berjalan dengan Sukses,5,Positif
kenapa gak bisa di buka,2,Negatif
Best,5,Positif
Sangat tepat,5,Positif
"Pengalaman saya menggunakan aplikasi ini sangat bagus,karena dokumen² yang ada didalamny orang tidak tahu selain kita.",5,Positif
Aplikasi yg sangat jelek sudah didownload tapi tidak bisa dibuka,1,Negatif
Afk perlu di kembangkan kambeli,1,Negatif
"Baru donlod aplikasi, suruh pasang kunci layar, udah gitu ga bisa jg. Trus suruh kunci pakai sidik jari. Aku yg ga pernah ngunci hp, jd bingung sendiri.",2,Negatif
Cara mempersulit hidup 🤣,1,Negatif
Bagus aplikasi ini,3,Positif
Ribet,1,Negatif
Ok,5,Positif
Penggunaan aplikasi ini mudah,4,Positif
Udh ke download tapi gak bisa dibuka,1,Negatif
Terlalu buruk.,1,Negatif
"Aplikasi versi ini tidak dapat di gunakan,coba tolong dibuatkan pembaruannya/updatenya ,",1,Negatif
Ok,5,Positif
"Yang buat aplikasi tolong di benerin lah, masa bentar lagi apk mau di pake ada tulisan apk ini tidak dapat di gunakan, terus di grup malah di kasih link buat instal apk. Mana pas di klik muncul itu apk berbahaya, bisa ada virus nya, bisa nyuri data juga, bisa bocor informasi di hp juga. Piye toh. Kita tuh cuma mau kerja, kalau mau memfasilitasi yang bener dong bikin apk nya. Sekelas pemerintah ko bikin aplikasi gak karuan gini. Plin plan. Musingin yang make aja. Tambah pajuriwet",1,Negatif
Agak sedikit lelet,4,Negatif
Ini pak masih aktif kan atau kadaluarsa,1,Negatif
"kalau udah gak bisa pakai versi ini setidaknya upgrade melalui playstore,udah coba download pake link yang dikasi dari sononya juga g bisa eughh,udah mendekati hari h tapi masih banyak yang belum bisa masuk apk!",1,Negatif
"Aplikasi pemerintah ini bobrokk, bikin onar, sekelas KPU ga bisa mengoptimalkan jangankan bekerja, login aja susah. Saya rasa ga ada lagi judul berita tv yg semenyakitkan ""SUARA RAKYAT VS SIREKAP""",1,Negatif
Mantap sekali,5,Positif
Parah sih,1,Negatif
Baik,5,Positif
Aplikasi patah tidak berguna,1,Negatif
Kereeennn,5,Positif
Bagus banget bjir wkwk,3,Netral
Tidak bisa masuk ke aplikasi,1,Negatif
Saya pernah menjadi kpps pemegang aplikasi sirekap dari pilkada 2020,5,Netral
Sangat membantu,5,Positif
Bagus dan cepat,5,Positif
Mantul,5,Positif
"Kalau nggak butuh² amat ne aplikasi malas benar dah, ini sudah puluhan kali instal trus uninstall. Aplikasi sudah tidak berlaku terus kenapa di arahkan kesini kalau tidak berlaku 😵‍💫",2,Negatif
sirekap,5,Positif
Aplikasi bobrok gini masih jg dipake !!! Apa aja kerja kalian yg di kpu !!! Hadeeuh,1,Negatif
Maju terus Negriku,5,Positif
Mantap,5,Positif
Sangat baik untuk digunakan,5,Positif
Baik cuma saya blum dapat username dan password,3,Netral
Aplikasi tidak bisa digunakan....versi sdh beda....tolong diupgrade buat besok batasnya,3,Negatif
Sempat login tapi pas mau login lagi invalid password Ama username,3,Netral
Keren,5,Positif
Tidak dapat uptudate apk ini,5,Negatif
"Dh bolak balik download.kenapa tetap saja GK bisa di buka? Dan bilang ""versi ini sudah tidak dapat di gunakan"" trus",4,Negatif
Sabar Aja malahan aplikasi ini lebih bagus. Darinkemarin. Untuk gubenur dan walkot . Di di kelurahan kamu membuat aplikasi versi Offline nya biar permudah perhitungan. 🙏,5,Negatif
Aps kurang update,3,Negatif
Masih terkendala belum bisa submit,5,Negatif
Semoga Sirekap Lancar gada gangguan,5,Netral
"Bagus,, tpi kadang ada masalah gx mau masuk",3,Netral
"Bernar"" kacau🤦🏻 kok bukan makin bagus malahan makin jelek, sudah didownload malahan GK bisa digunakan. Mohon maaf namun setidaknya sebelum anda menghimbau penguna direkap untuk mendownload Aplikasih direkap mendingan dites dan diuji coba dulu kelayakan dan fungsih direkap itu sendiri apakah layak dan berhasil digunakan apa tidak! Saat pemilu direkap tinyatakan Eror kok sekarang saat pilkada malahan lebih kacau..! Buat aja aplikasih lain..",1,Negatif
Parah..,1,Negatif
Apalah,1,Negatif
tidak berguna,1,Negatif
"Asli, mereka ga belajar dari waktu kasus Pilpres kemarin. Aplikasi error masih aja dipake",1,Negatif
susah loading tetus,1,Negatif
Apa ini gak guna,1,Negatif
Aplikasi versi ini udah tidak bisa di gunakan,4,Negatif
Ini masukan ya BPK/ibu terlebih Khusus Admin Atau pencipta Aplikasi ini . Kalo apknya sudah kadaluarsa dan Versinya sudah tidak bisa di gunakan Silahkan di upgrade kembali dong biar kita jangan buang2 Kuota Kita hanya Mendownload Apk ini ketika Di buka mohon mahaf aplikasi versi ini sudah tidak dapat digunakan 🙄 Mohon ditindak lanjuti 🙏 Terimakasih,5,Positif
Oke,5,Positif
aplikasi tidak dapat diakses,1,Negatif
Aplikasi tidak bisa di gunakan,1,Negatif
Saya tidak bisa daftar ni tolong bantu saya daftar k,5,Negatif
Update woy,1,Negatif
"Aplikasi gak jelas, padahal linknya langsung dari KPU,, 🤔, Parah",1,Negatif
Mantap,5,Positif
"Wis kacau , aplikasi nya sudah tidak dapat di gunakan .. Itu maksudnya apa yah",1,Negatif
"Sudah 3x pegang sirekap ga ada perubahan, bermasalah terus....",1,Negatif
Saya maunya sirekap terbaru,1,Negatif
"Udah di download gs bisa di buka, tulisannya aplikasi ini sudah tidak dapat digunakan gimana ini",2,Negatif
Sangat buruk tidak bermanfaat,1,Negatif
Gimana ini udah dikirim link dari KPU tapi ketika di istal dan buka aplikasi sudah tidak berlaku katanya gimana ini,1,Negatif
Masa dapat Likn langsung diarahkan ke Playsore di buka Versi ini sudah Tidak digunakan Lagi😡,1,Negatif
Ok sipp,5,Positif
luar biasa,5,Positif
"Tolong Kameranya dibenerin biar ngga delay, cape banget hp udah geser masa kameranya belum",1,Negatif
aplikasi sangat tidak bagus,1,Negatif
Sudah di donlod tapi gak mau di bukak ada tulisan aplikasi ini sudak tidak di pakai,1,Negatif
"Aplikasi bapuk, padahal tendernya gede juga",1,Negatif
Mantaab,5,Positif
Sudah didownload malah aplikasinya sudah tidak terpakai. Gak jelas,1,Negatif
Menyala,5,Positif
"Aplikasi yang belum siap tapi dipaksakan ya gini , buang buang anggaran aja , tolong di benahi lagi dong untuk apk si rekap",1,Negatif
Tidak bisa masuk apk,5,Negatif
Sangat sangat lemot,5,Negatif
Pemborosan uang rakyat di pakai buat aplikasi yang ga guna,1,Negatif
Good,2,Negatif
benar,5,Positif
Aplikasi versi ini sudah tidak dapat di gunakan.klo blm siap jgn di publikasikan dong.nanti di saat hari H nya error .,1,Negatif
Tidak bisa di buka,1,Negatif
"Aplikasi versi ini sudah tidak dapat di gunakan,, maksudnya",2,Negatif
Di kasih link dari kpu pas di alihkan ke PlayStore malah aplikasi versi ini tdk bisa di gunakan.. Di Indonesia kaya gk ada lagi orang pintar IT. Developer yg skrg sangat buruk.,1,Negatif
Baik,4,Positif
Kenapa belum di ubah ke versi terbaru.. karna suda di instal tapi setelah buka. versi lama dan tidak dapat di gunakan,2,Negatif
Tidak bisa login di Hp vivo n oppo,1,Negatif
Ingin mengetahui lebih lagi bagaimana cara menggunakan aplikasi sirekap,5,Netral
Aplikasi versi ini sudah tidak bisa di gunakan....gunakan versi anda sendiri 🤣,1,Negatif
"""aplikasi versi ini sudah tidak dapat digunakan"" Hape gw yang gak support apa sistemnya yang tidak berjalan pada semestinya?? *Confused!!!*",1,Negatif
Aplikasi sdh tdk bs di gunakan tp di sarankan dr wa KPU surun login..hadeehhh,1,Negatif
Gagal mendapatkan kunci digital. Gimana solusinya,2,Negatif
"Bagaimana cara mendapatkan link aktivasi, karena saya sudah mengklik link tapi yang muncul adalah token expired ?",1,Negatif
Bagus sekali aplikasi ini,5,Positif
Tolong di update ke versi terbaru karena aplikasi versi ini tidak bisa di gunakan.,3,Netral
Nice,5,Positif
Update sirekap dulu pak yang terbaru soalnya yang lama tidak bisa di pakai lagi,3,Netral
busuk,1,Negatif
Kocak dapat link dari kpu tetep aja ngebug. Versi sudah terpakai🤣,1,Negatif
"Tolong diperbarui min aplikasinya, soalnya versi sekarang gk bisa dibukak",1,Negatif
tidak bisa masuksn kode autenticator,3,Negatif
Beban,2,Negatif
Sangat bagus,5,Positif
Ribet susah mau login aja,1,Negatif
App tdk jelas,5,Negatif
Sudah di install...tapi ga bisa sudah di gunakan ..,1,Negatif
pas di download keterangan nya aplikasi tidak bisa di gunakan,1,Negatif
"Tolong di perbaiki sgera,sdh di install tidk dpt dbuka",5,Negatif
"Yg ngirim link donload kpu, tapi kok apk- nya udh ga bisa digunakn lagi ya...",1,Negatif
"Tolong lah berikan tugas kepada profesional, masa sekelas proyek Nasional kualitas Aplikasinya jelek gini",1,Negatif
Aplikasi tidak bisah di buka,5,Negatif
Sngat mendukung,1,Negatif
"Masih ga bisa dibuka versi aplikasinya tidak dapat digunakan ?? Lah ??? Bahkan untuk kunci pengaman tidak disediakan aplikasi, hedeh....... Aplikasi pemerintah loh ini tingkat nasional lagi.... Kalau mmg ada masalah lain selain versi kyk server harusnya dicantumkan kendalanya",1,Negatif
Tidak tersedia untuk iphone,1,Negatif
Aplikasi sering eror..udah di download tpi nggak bisa di gunakan,4,Negatif
"Kenapa saya download aplikasi ini tidak dapat di gunakan, gimana solusinya? Saya sudah instal berkali-kali, masih aja tidak dapat di gunakan",1,Negatif
Mantap,5,Positif
Mantap,5,Positif
Mohon diperbaiki. Device Poco x3 pro MIUI 13 pas buka aplikasi (versi aplikasi ini sudah tidak dapat digunakan) padahal sudah terbaru.,5,Negatif
mantap,5,Positif
"Seharusnya KPU lebih prepare dalam menyiapkan aplikasi ini, karena dari tahun"" sebelumnya selalu bermasalah, kalau memang aplikasi belum terupdate seharusnya tidak mengirimkan pesan WA untuk mengunduh aplikasinya, alhasil pasti akan mendapatkan ulasan bintang 1",1,Negatif
Gini jadi nya kalau yang buat aplikasi punya orang dalam tapi gak punya skil di bidang nya Pukimakkk,1,Negatif
Ini aplikasi maksutnya gimana si?,1,Negatif
Aplikasi tidak bisa dibuka dan digunakan,1,Negatif
istimewa,5,Positif
"""Aplikasi versi ini sudah tidak dapat digunakan"" Padahal sudah mengikuti arahan, tapi tetap seperti ini. Aplikasinya juga sudah saya download hapus download hapus tapi ttp saja seperti ini",1,Negatif
Sangat membantu,5,Positif
Sudah banyak peningkatan untuk pilkada 2024...👍,5,Positif
Ok,4,Positif
Bagus,4,Positif
Yang bener dong,1,Negatif
Tidak bisa dibuka,1,Negatif
Apk BUSUK!,1,Negatif
Setelah masuk pesan aktivitasi dan berhasil. Malah setelah masuk aplikasi nya invalid username wak. Kocak kocak,1,Negatif
BINTANG 🌟 5 SEMANGAT BIKIN APK PREMATUR MIN,5,Positif
Gk jelas aplikasnya,1,Negatif
buruk sekali,1,Negatif
"Tidak bisa digunakan. ""versi aplikasi ini sudah tidak bisa digunakan"" begitu responnya",1,Negatif
Server lambat,1,Negatif
Sangat bermanfaat,5,Positif
"Behh kasus men , sama smua masalahnya",1,Negatif
Ok,5,Positif
Kocak,1,Negatif
Ok,5,Positif
Bagus,5,Positif
"sirekap kapan sih siapnya bisa digunakan? pengalaman pemilu masih kurang kah buat berbenah jadi lebih baik performanya, baru di install masa gak bisa digunakan",1,Negatif
Apelikasih buzuk tak gune...,1,Negatif
Susah ga bisa login password salah terus,1,Negatif
"Aplikasi pemerintah masih sama aja, kalo ga proses login ga bisa, atau minta update padahal aplikasi belum ada update resmi",1,Negatif
Weladalah wes donlod kok aplikasi ini tidak bisa digunakan.. wahjian payah ngabisin kuota aja. Piye tha iki rajelas,1,Negatif
Tdk tersedia,1,Negatif
Apk ini kok susah yang di minta versi terbaru malah versi yang lama wajar gak bisa di gunakan mana versi terbaru nya jangan bikin KPPS tunggang langgang habis paket untuk download apk yang sama kalau Saya bukan salah satu anggota kpps gak perlu saya download apk sirekap bikin pusing kepala aja,5,Negatif
"Aplikasi tolol di download malah ngulang terus, tolong ini aplikasi nya di update jgn cuma habis masuk kocek anggaran nya",1,Negatif
Yg bikin orang tolol apa gimanasih gakbisa dibuka.,1,Negatif
"baru saja download sudah tdk bisa di gunakan, terus untuk kedepannya gmna?. tolonglah gmna caranya jgn smpe hal yg kemaren di pilpres terulang lagi di pilkada",1,Negatif
"Untuk sebuah aplikasi saja di Indonesia ini belum mampu di ciptakan,bahkan sampai hari H nya belom bisa normal , gimana ceritanya kita mau jadi negara maju , sedangkan hal seperti ini saja belum mampu",1,Negatif
Aplikasi bagus. Terbukti membayar,5,Positif
Kpu arahkan ke link aplikasi ini .tpi aplikasi tidak di perbarui . Ribet pakai2 begini . Dlu suharto jadi presiden gk pakai yg begini2an,2,Negatif
Tidak bisa di gunakan untuk android versi terbaru dan sering terjadi lag pada saat pemakaian,1,Negatif
Oke,5,Positif
Susah masuk nya,2,Negatif
Astga ngurus aplikasi spele kyk gini aja gk BECUS 😂👎,1,Negatif
Baru download sudah ada pesan app versi ini sudah tidak dapat digunakan... Saya hapus instal lagi sampai 3 kali.. sama aja.. lhah trus kudu gimana..?,1,Negatif
Aplikasi kok di anggurin... Kebanyakan dikorupsi dananya... Ckcckckck,1,Negatif
Aplikasi tidak bisa di akses,5,Negatif
aplikasi versi ini tidak lagi bisa digunakan. kenapa bisa seperti itu?,1,Negatif
Sangat bagus....,5,Positif
Gimana download malah gak bisa dibuka,1,Negatif
giateeel,1,Negatif
