content,score,at,label,Unnamed: 0,clean_text,normalized_text,text_StopWords,text_tokens,text_steaming
Gonta ganti terus ribet pak,1,2024-11-20 16:34:08,Negatif,,gonta ganti terus ribet pak,gonta ganti terus ribet pak,gonta ganti ribet,"['gonta', 'ganti', 'ribet']",gonta ganti ribet
Aplikasi BOSOK,1,2024-11-20 16:33:32,Negatif,,aplikasi bosok,aplikasi bosok,aplikasi bosok,"['aplikasi', 'bosok']",aplikasi bosok
Apk ini ko tdk bisa masuk kenapa ka tdk bisa,3,2024-11-20 16:25:15,Netral,,apk ini ko tdk bisa masuk kenapa ka tdk bisa,aplikasi ini ko tidak bisa masuk kenapa ka tidak bisa,aplikasi ko masuk ka,"['aplikasi', 'ko', 'masuk', 'ka']",aplikasi ko masuk ka
Mantap,5,2024-11-20 16:18:45,Positif,,mantap,mantap,mantap,['mantap'],mantap
"Dari versi 2.71 ngga bisa update ke 2.73, udah coba clear data malah log out dan ngga bisa login😢",1,2024-11-20 16:10:23,Negatif,,dari versi 271 ngga bisa update ke 273 udah coba clear data malah log out dan ngga bisa login,dari versi 271 ngga bisa update ke 273 sudah coba clear data malah log out dan ngga bisa login,versi 271 ngga update 273 coba clear data log out ngga login,"['versi', '271', 'ngga', 'update', '273', 'coba', 'clear', 'data', 'log', 'out', 'ngga', 'login']",versi 271 ngga update 273 coba clear data log out ngga login
Aplikasi busuk,1,2024-11-20 16:08:55,Negatif,,aplikasi busuk,aplikasi busuk,aplikasi busuk,"['aplikasi', 'busuk']",aplikasi busuk
Cara atasi terjadi kesalahan saat melakukan inisialisasi aplikasi gi mana atau gagal mendapakan kunci digital solusinya gi mana ..?,2,2024-11-20 16:03:59,Negatif,,cara atasi terjadi kesalahan saat melakukan inisialisasi aplikasi gi mana atau gagal mendapakan kunci digital solusinya gi mana,cara atasi terjadi kesalahan saat melakukan inisialisasi aplikasi gi mana atau gagal mendapakan kunci digital solusinya gi mana,atasi kesalahan inisialisasi aplikasi gi gagal mendapakan kunci digital solusinya gi,"['atasi', 'kesalahan', 'inisialisasi', 'aplikasi', 'gi', 'gagal', 'mendapakan', 'kunci', 'digital', 'solusinya', 'gi']",atas salah inisial aplikasi gi gagal mendapa kunci digital solusi gi
"Aplikasi pemerintah qo gini banget,",1,2024-11-20 16:01:10,Negatif,,aplikasi pemerintah qo gini banget,aplikasi pemerintah qo begini banget,aplikasi pemerintah qo banget,"['aplikasi', 'pemerintah', 'qo', 'banget']",aplikasi perintah qo banget
begini amat aplikasi nya mau masuk aja kaga bisa,1,2024-11-20 15:50:11,Negatif,,begini amat aplikasi nya mau masuk aja kaga bisa,begini amat aplikasi nya ingin masuk saja kaga bisa,aplikasi nya masuk kaga,"['aplikasi', 'nya', 'masuk', 'kaga']",aplikasi nya masuk kaga
𝗞𝗮𝗸 𝗸𝗲𝗻𝗮𝗽𝗮 𝗴𝗮𝗸 𝗯𝗶𝘀𝗮 𝗬𝗮 𝘂𝗻𝘁𝘂𝗞 𝗯𝗶𝗺𝘁𝗲𝗸𝟱 𝗻𝘆𝗮,2,2024-11-20 15:43:04,Negatif,,,,,[],
Aplikasi mantap,5,2024-11-20 15:39:31,Positif,,aplikasi mantap,aplikasi mantap,aplikasi mantap,"['aplikasi', 'mantap']",aplikasi mantap
"Parah smpek emosi gw masuk gagal terus, ciri² aplikasi ribet kayak pilpres kemarin ini, .....😤",1,2024-11-20 15:36:35,Negatif,,parah smpek emosi gw masuk gagal terus ciri aplikasi ribet kayak pilpres kemarin ini,parah smpek emosi gw masuk gagal terus ciri aplikasi ribet kayak pilpres kemarin ini,parah smpek emosi gw masuk gagal ciri aplikasi ribet kayak pilpres kemarin,"['parah', 'smpek', 'emosi', 'gw', 'masuk', 'gagal', 'ciri', 'aplikasi', 'ribet', 'kayak', 'pilpres', 'kemarin']",parah smpek emosi gw masuk gagal ciri aplikasi ribet kayak pilpres kemarin
Alhamdulillah sdh bisa langsung login.. Semoga hari H nanti tidak gangguan... 👍👍,5,2024-11-20 15:32:35,Positif,,alhamdulillah sdh bisa langsung login semoga hari h nanti tidak gangguan,alhamdulillah sdh bisa langsung login semoga hari h nanti tidak gangguan,alhamdulillah sdh langsung login semoga h gangguan,"['alhamdulillah', 'sdh', 'langsung', 'login', 'semoga', 'h', 'gangguan']",alhamdulillah sdh langsung login moga h ganggu
🔥,5,2024-11-20 15:30:03,Positif,,,,,[],
Saya lupa password apakah bisa di bantu?,4,2024-11-20 15:24:16,Positif,,saya lupa password apakah bisa di bantu,saya lupa password apakah bisa di bantu,lupa password bantu,"['lupa', 'password', 'bantu']",lupa password bantu
"Alhamdulillah lancar untuk bimtek dan upload berkas sirekap. semoga aman lancar jaya aplikasinya sampai pilkada selesai, Aamiin",5,2024-11-20 15:15:40,Positif,,alhamdulillah lancar untuk bimtek dan upload berkas sirekap semoga aman lancar jaya aplikasinya sampai pilkada selesai aamiin,alhamdulillah lancar untuk bimtek dan upload berkas sirekap semoga aman lancar jaya aplikasinya sampai pilkada selesai aamiin,alhamdulillah lancar bimtek upload berkas sirekap semoga aman lancar jaya aplikasinya pilkada selesai aamiin,"['alhamdulillah', 'lancar', 'bimtek', 'upload', 'berkas', 'sirekap', 'semoga', 'aman', 'lancar', 'jaya', 'aplikasinya', 'pilkada', 'selesai', 'aamiin']",alhamdulillah lancar bimtek upload berkas sirekap moga aman lancar jaya aplikasi pilkada selesai aamiin
Ok,4,2024-11-20 15:11:44,Positif,,ok,ok,ok,['ok'],ok
selalu gagal mendapatkan sertifikat,1,2024-11-20 14:55:30,Negatif,,selalu gagal mendapatkan sertifikat,selalu gagal mendapatkan sertifikat,gagal sertifikat,"['gagal', 'sertifikat']",gagal sertifikat
Setiap ada uji beban atau rekapitulasi sebaiknya profil yang dimunculkan cuma 1 saja,3,2024-11-20 14:50:05,Netral,,setiap ada uji beban atau rekapitulasi sebaiknya profil yang dimunculkan cuma 1 saja,setiap ada uji beban atau rekapitulasi sebaiknya profil yang dimunculkan cuma 1 saja,uji beban rekapitulasi profil dimunculkan 1,"['uji', 'beban', 'rekapitulasi', 'profil', 'dimunculkan', '1']",uji beban rekapitulasi profil muncul 1
Aman,5,2024-11-20 14:49:18,Positif,,aman,aman,aman,['aman'],aman
Aplikasi kudet,1,2024-11-20 14:40:59,Negatif,,aplikasi kudet,aplikasi kudet,aplikasi kudet,"['aplikasi', 'kudet']",aplikasi kudet
Tidak ramah bintang satu,1,2024-11-20 14:40:28,Negatif,,tidak ramah bintang satu,tidak ramah bintang satu,ramah bintang,"['ramah', 'bintang']",ramah bintang
Bagus,5,2024-11-20 14:40:22,Positif,,bagus,bagus,bagus,['bagus'],bagus
Aplikasi yg amat sangat buruk.,1,2024-11-20 14:35:35,Negatif,,aplikasi yg amat sangat buruk,aplikasi yang amat sangat buruk,aplikasi buruk,"['aplikasi', 'buruk']",aplikasi buruk
Kyknyaaaaaa Masih lancar app judi dehhh 😂😂 kenapa app negara sejelek ini aduhhhh gimana si,1,2024-11-20 14:34:50,Negatif,,kyknyaaaaaa masih lancar app judi dehhh kenapa app negara sejelek ini aduhhhh gimana si,kyknyaaaaaa masih lancar app judi dehhh kenapa app negara sejelek ini aduhhhh gimana si,kyknyaaaaaa lancar app judi dehhh app negara sejelek aduhhhh gimana si,"['kyknyaaaaaa', 'lancar', 'app', 'judi', 'dehhh', 'app', 'negara', 'sejelek', 'aduhhhh', 'gimana', 'si']",kyknyaaaaaa lancar app judi dehhh app negara jelek aduhhhh gimana si
install ✅ login ✅ ganti password ✅ logout ✅ login kembali ❌ 🤣🤣🤣 luar biasa,1,2024-11-20 14:33:39,Negatif,,install login ganti password logout login kembali luar biasa,install login ganti password logout login kembali luar biasa,install login ganti password logout login,"['install', 'login', 'ganti', 'password', 'logout', 'login']",install login ganti password logout login
Lalod,1,2024-11-20 14:31:05,Negatif,,lalod,lalod,lalod,['lalod'],lalod
Pembaruan yg meribetkan,1,2024-11-20 14:29:25,Negatif,,pembaruan yg meribetkan,pembaruan yang meribetkan,pembaruan meribetkan,"['pembaruan', 'meribetkan']",baru meribetkan
Kok belum bisa update,1,2024-11-20 14:26:21,Negatif,,kok belum bisa update,mengapa belum bisa update,update,['update'],update
Plis gak boleh ngadat smp hari H,5,2024-11-20 14:24:01,Positif,,plis gak boleh ngadat smp hari h,plis tidak boleh ngadat smp hari h,plis ngadat smp h,"['plis', 'ngadat', 'smp', 'h']",plis ngadat smp h
Susah Up date,1,2024-11-20 14:23:56,Negatif,,susah up date,susah up date,susah up date,"['susah', 'up', 'date']",susah up date
tidak bisa diinstal versi 2.73,2,2024-11-20 14:19:33,Negatif,,tidak bisa diinstal versi 273,tidak bisa diinstal versi 273,diinstal versi 273,"['diinstal', 'versi', '273']",diinstal versi 273
Mayan,5,2024-11-20 14:16:17,Positif,,mayan,mayan,mayan,['mayan'],mayan
Kok gc bisa loging di HP vivo sih💀,1,2024-11-20 14:13:09,Negatif,,kok gc bisa loging di hp vivo sih,mengapa gc bisa loging di hp vivo sih,gc loging hp vivo sih,"['gc', 'loging', 'hp', 'vivo', 'sih']",gc loging hp vivo sih
Cakep,5,2024-11-20 14:11:18,Positif,,cakep,cakep,cakep,['cakep'],cakep
Bagus,5,2024-11-20 14:10:37,Positif,,bagus,bagus,bagus,['bagus'],bagus
Error terus waktu ganti profil,1,2024-11-20 14:02:32,Negatif,,error terus waktu ganti profil,error terus waktu ganti profil,error ganti profil,"['error', 'ganti', 'profil']",error ganti profil
Kpps kedua sy,5,2024-11-20 14:00:19,Positif,,kpps kedua sy,kpps kedua sy,kpps sy,"['kpps', 'sy']",kpps sy
Gajelas apk banyak trouble nya aneh,1,2024-11-20 13:58:27,Negatif,,gajelas apk banyak trouble nya aneh,gajelas aplikasi banyak trouble nya aneh,gajelas aplikasi trouble nya aneh,"['gajelas', 'aplikasi', 'trouble', 'nya', 'aneh']",gajelas aplikasi trouble nya aneh
Negara bikin ginian aja trobel terus dari tahun ke tahun. Jangan sungkan2 pakai developer luar yg sudah berpengalaman,1,2024-11-20 13:54:51,Negatif,,negara bikin ginian aja trobel terus dari tahun ke tahun jangan sungkan2 pakai developer luar yg sudah berpengalaman,negara bikin ginian saja trobel terus dari tahun ke tahun jangan sungkan2 pakai developer luar yang sudah berpengalaman,negara bikin ginian trobel sungkan2 pakai developer berpengalaman,"['negara', 'bikin', 'ginian', 'trobel', 'sungkan2', 'pakai', 'developer', 'berpengalaman']",negara bikin ginian trobel sungkan2 pakai developer alam
"Apk baru login aja nyusahin, kalo emang niat bikin yang bagus sekalian, jangan setengah², mendingan gausah kalo gitu, semoga pilkakda taun ini aman² aja ga kya pilpres kemarin, udah niat bimtek terus pas hari pemilihan apknya malah ngga bisa dipake",1,2024-11-20 13:48:41,Negatif,,apk baru login aja nyusahin kalo emang niat bikin yang bagus sekalian jangan setengah mendingan gausah kalo gitu semoga pilkakda taun ini aman aja ga kya pilpres kemarin udah niat bimtek terus pas hari pemilihan apknya malah ngga bisa dipake,aplikasi baru login saja nyusahin kalau emang niat bikin yang bagus sekalian jangan setengah mendingan gausah kalau gitu semoga pilkakda taun ini aman saja tidak kya pilpres kemarin sudah niat bimtek terus saat hari pemilihan apknya malah ngga bisa dipake,aplikasi login nyusahin emang niat bikin bagus mendingan gausah gitu semoga pilkakda taun aman kya pilpres kemarin niat bimtek pemilihan apknya ngga dipake,"['aplikasi', 'login', 'nyusahin', 'emang', 'niat', 'bikin', 'bagus', 'mendingan', 'gausah', 'gitu', 'semoga', 'pilkakda', 'taun', 'aman', 'kya', 'pilpres', 'kemarin', 'niat', 'bimtek', 'pemilihan', 'apknya', 'ngga', 'dipake']",aplikasi login nyusahin emang niat bikin bagus mending gausah gitu moga pilkakda taun aman kya pilpres kemarin niat bimtek pilih apknya ngga dipake
aplikasi abal2 tpi biaya milyaran,1,2024-11-20 13:47:39,Negatif,,aplikasi abal2 tpi biaya milyaran,aplikasi abal2 tpi biaya milyaran,aplikasi abal2 tpi biaya milyaran,"['aplikasi', 'abal2', 'tpi', 'biaya', 'milyaran']",aplikasi abal2 tpi biaya milyaran
"Tanggal 20 november, aplikasi tidak dapat diupdate. Tanggal 7 November 2024 ""Aplikasi versi ini sudah tidak dapat digunakan""",1,2024-11-20 13:46:12,Negatif,,tanggal 20 november aplikasi tidak dapat diupdate tanggal 7 november 2024 aplikasi versi ini sudah tidak dapat digunakan,tanggal 20 november aplikasi tidak dapat diupdate tanggal 7 november 2024 aplikasi versi ini sudah tidak dapat digunakan,tanggal 20 november aplikasi diupdate tanggal 7 november 2024 aplikasi versi,"['tanggal', '20', 'november', 'aplikasi', 'diupdate', 'tanggal', '7', 'november', '2024', 'aplikasi', 'versi']",tanggal 20 november aplikasi diupdate tanggal 7 november 2024 aplikasi versi
Mantapppp,5,2024-11-20 13:43:09,Positif,,mantapppp,mantapppp,mantapppp,['mantapppp'],mantapppp
Semoga bisa di andalkan sampe hari H agar tidak membebani relawan,5,2024-11-20 13:41:55,Positif,,semoga bisa di andalkan sampe hari h agar tidak membebani relawan,semoga bisa di andalkan sampe hari h agar tidak membebani relawan,semoga andalkan sampe h membebani relawan,"['semoga', 'andalkan', 'sampe', 'h', 'membebani', 'relawan']",moga andal sampe h beban rawan
"Gerakan kamera mohon ditingkatkan, terasa sangat berat dan patah patah",1,2024-11-20 13:39:08,Negatif,,gerakan kamera mohon ditingkatkan terasa sangat berat dan patah patah,gerakan kamera mohon ditingkatkan terasa sangat berat dan patah patah,gerakan kamera mohon ditingkatkan berat patah patah,"['gerakan', 'kamera', 'mohon', 'ditingkatkan', 'berat', 'patah', 'patah']",gera kamera mohon tingkat berat patah patah
Bagus aman,5,2024-11-20 13:37:25,Positif,,bagus aman,bagus aman,bagus aman,"['bagus', 'aman']",bagus aman
"271 lancar, update 273. Malah nggak bisa login , keterangan. Salah username dan password.. pie kieeee",1,2024-11-20 13:36:58,Negatif,,271 lancar update 273 malah nggak bisa login keterangan salah username dan password pie kieeee,271 lancar update 273 malah nggak bisa login keterangan salah username dan password pie kieeee,271 lancar update 273 nggak login keterangan salah username password pie kieeee,"['271', 'lancar', 'update', '273', 'nggak', 'login', 'keterangan', 'salah', 'username', 'password', 'pie', 'kieeee']",271 lancar update 273 nggak login terang salah username password pie kieeee
Mantap,5,2024-11-20 13:32:00,Positif,,mantap,mantap,mantap,['mantap'],mantap
"Saya tidak bisa memilih bimtek, hanya bisa memilih rekapitulasi. Jika saya pilih bimtek saya tidak bisa login ke dalam aplikasi. Hal tersebut sangat menghabat pekerjaan, serta pemahaman dan pemgalaman saya dalam menggunakan fitur2 yg ada di aplikasi.",2,2024-11-20 13:27:25,Negatif,,saya tidak bisa memilih bimtek hanya bisa memilih rekapitulasi jika saya pilih bimtek saya tidak bisa login ke dalam aplikasi hal tersebut sangat menghabat pekerjaan serta pemahaman dan pemgalaman saya dalam menggunakan fitur2 yg ada di aplikasi,saya tidak bisa memilih bimtek hanya bisa memilih rekapitulasi jika saya pilih bimtek saya tidak bisa login ke dalam aplikasi hal tersebut sangat menghabat pekerjaan serta pemahaman dan pemgalaman saya dalam menggunakan fitur2 yang ada di aplikasi,memilih bimtek memilih rekapitulasi pilih bimtek login aplikasi menghabat pekerjaan pemahaman pemgalaman fitur2 aplikasi,"['memilih', 'bimtek', 'memilih', 'rekapitulasi', 'pilih', 'bimtek', 'login', 'aplikasi', 'menghabat', 'pekerjaan', 'pemahaman', 'pemgalaman', 'fitur2', 'aplikasi']",pilih bimtek pilih rekapitulasi pilih bimtek login aplikasi menghabat kerja paham pemgalaman fitur2 aplikasi
Belum ada kendala saat bimtek,5,2024-11-20 13:24:37,Positif,,belum ada kendala saat bimtek,belum ada kendala saat bimtek,kendala bimtek,"['kendala', 'bimtek']",kendala bimtek
Susah login,1,2024-11-20 13:24:30,Negatif,,susah login,susah login,susah login,"['susah', 'login']",susah login
Kenapa sudah di download tidak bisa di buka,1,2024-11-20 13:24:06,Negatif,,kenapa sudah di download tidak bisa di buka,kenapa sudah di download tidak bisa di buka,download buka,"['download', 'buka']",download buka
"Sangat baik,tepat sasaran",5,2024-11-20 13:21:22,Positif,,sangat baiktepat sasaran,sangat baiktepat sasaran,baiktepat sasaran,"['baiktepat', 'sasaran']",baiktepat sasar
Penting sekali,5,2024-11-20 13:20:47,Positif,,penting sekali,penting sekali,,[],
Bosok,1,2024-11-20 13:19:34,Negatif,,bosok,bosok,bosok,['bosok'],bosok
"Ini kenapa saya tidak bisa login, padahal di versi sebelumnya lancar tidak ada kendala sekarang ngestuck di login aja",4,2024-11-20 13:17:51,Positif,,ini kenapa saya tidak bisa login padahal di versi sebelumnya lancar tidak ada kendala sekarang ngestuck di login aja,ini kenapa saya tidak bisa login padahal di versi sebelumnya lancar tidak ada kendala sekarang ngestuck di login saja,login versi lancar kendala ngestuck login,"['login', 'versi', 'lancar', 'kendala', 'ngestuck', 'login']",login versi lancar kendala ngestuck login
Aplikasi tak layak,1,2024-11-20 13:17:49,Negatif,,aplikasi tak layak,aplikasi tak layak,aplikasi layak,"['aplikasi', 'layak']",aplikasi layak
Aplikasi belum mateng tapi dipaksain ya jadinya gini,3,2024-11-20 13:17:32,Netral,,aplikasi belum mateng tapi dipaksain ya jadinya gini,aplikasi belum mateng tapi dipaksain iya jadinya begini,aplikasi mateng dipaksain iya,"['aplikasi', 'mateng', 'dipaksain', 'iya']",aplikasi mateng dipaksain iya
Bagus dan sangat bermanfaat,5,2024-11-20 13:16:58,Positif,,bagus dan sangat bermanfaat,bagus dan sangat bermanfaat,bagus bermanfaat,"['bagus', 'bermanfaat']",bagus manfaat
Aplikasi ini lebih banyak masalahnya dari pada waktu pilpres..,1,2024-11-20 13:13:46,Negatif,,aplikasi ini lebih banyak masalahnya dari pada waktu pilpres,aplikasi ini lebih banyak masalahnya dari pada waktu pilpres,aplikasi pilpres,"['aplikasi', 'pilpres']",aplikasi pilpres
Bagus,5,2024-11-20 13:06:06,Positif,,bagus,bagus,bagus,['bagus'],bagus
Tolong server dipersiapkan dengan baik. Jangan kyak pemilu banyak yg down gambar tidak terkirim,3,2024-11-20 13:02:21,Netral,,tolong server dipersiapkan dengan baik jangan kyak pemilu banyak yg down gambar tidak terkirim,mohon server dipersiapkan dengan baik jangan kyak pemilu banyak yang down gambar tidak terkirim,mohon server dipersiapkan kyak pemilu down gambar terkirim,"['mohon', 'server', 'dipersiapkan', 'kyak', 'pemilu', 'down', 'gambar', 'terkirim']",mohon server siap kyak milu down gambar kirim
Semoga sukses sampai hari H,5,2024-11-20 13:02:03,Positif,,semoga sukses sampai hari h,semoga sukses sampai hari h,semoga sukses h,"['semoga', 'sukses', 'h']",moga sukses h
"Untuk sirekap hanya sekedar membebani anggaran yg tidak sesuai... Sebenarnya TDK harus ribet pake aplikasi,,,ini cuman tambah kerjaan aja, dlu gak pke aplikasi PDA jdi presiden,atau anggota pemerintahan lain nya.",1,2024-11-20 12:59:47,Negatif,,untuk sirekap hanya sekedar membebani anggaran yg tidak sesuai sebenarnya tdk harus ribet pake aplikasiini cuman tambah kerjaan aja dlu gak pke aplikasi pda jdi presidenatau anggota pemerintahan lain nya,untuk sirekap hanya sekedar membebani anggaran yang tidak sesuai sebenarnya tidak harus ribet pakai aplikasiini cuman tambah kerjaan saja dlu tidak pke aplikasi pda jdi presidenatau anggota pemerintahan lain nya,sirekap sekedar membebani anggaran sesuai ribet pakai aplikasiini cuman kerjaan dlu pke aplikasi pda jdi presidenatau anggota pemerintahan nya,"['sirekap', 'sekedar', 'membebani', 'anggaran', 'sesuai', 'ribet', 'pakai', 'aplikasiini', 'cuman', 'kerjaan', 'dlu', 'pke', 'aplikasi', 'pda', 'jdi', 'presidenatau', 'anggota', 'pemerintahan', 'nya']",sirekap dar beban anggar sesuai ribet pakai aplikasiini cuman kerja dlu pke aplikasi pda jdi presidenatau anggota perintah nya
Bagus,5,2024-11-20 12:58:25,Positif,,bagus,bagus,bagus,['bagus'],bagus
Tolong versi 2.73 kenapa tidak bisa di donwload,2,2024-11-20 12:54:11,Negatif,,tolong versi 273 kenapa tidak bisa di donwload,mohon versi 273 kenapa tidak bisa di donwload,mohon versi 273 donwload,"['mohon', 'versi', '273', 'donwload']",mohon versi 273 donwload
Jangan bercanda lagi ya😅 nih bintang 5 dulu siapa tau bug nya anu😁,5,2024-11-20 12:51:21,Positif,,jangan bercanda lagi ya nih bintang 5 dulu siapa tau bug nya anu,jangan bercanda lagi iya nih bintang 5 dulu siapa tau bug nya anu,bercanda iya nih bintang 5 tau bug nya anu,"['bercanda', 'iya', 'nih', 'bintang', '5', 'tau', 'bug', 'nya', 'anu']",canda iya nih bintang 5 tau bug nya anu
Sangt bagus,5,2024-11-20 12:45:28,Positif,,sangt bagus,sangt bagus,sangt bagus,"['sangt', 'bagus']",sangt bagus
Mantap,5,2024-11-20 12:44:15,Positif,,mantap,mantap,mantap,['mantap'],mantap
hehehe,2,2024-11-20 12:19:40,Negatif,,hehehe,hehehe,hehehe,['hehehe'],hehehe
Bagaimana solusinya jika lupa password akun sirekap??,3,2024-11-20 12:18:48,Netral,,bagaimana solusinya jika lupa password akun sirekap,bagaimana solusinya jika lupa password akun sirekap,solusinya lupa password akun sirekap,"['solusinya', 'lupa', 'password', 'akun', 'sirekap']",solusi lupa password akun sirekap
Aplikasinya masih belum bisa dinupdate secara maksimal mungkin perlu diperbaiki lagi,3,2024-11-20 12:18:37,Netral,,aplikasinya masih belum bisa dinupdate secara maksimal mungkin perlu diperbaiki lagi,aplikasinya masih belum bisa dinupdate secara maksimal mungkin perlu diperbaiki lagi,aplikasinya dinupdate maksimal diperbaiki,"['aplikasinya', 'dinupdate', 'maksimal', 'diperbaiki']",aplikasi dinupdate maksimal baik
Good,5,2024-11-20 12:11:23,Positif,,good,baik,,[],
Joss bgt,5,2024-11-20 12:10:11,Positif,,joss bgt,joss bgt,joss bgt,"['joss', 'bgt']",joss bgt
"Apk aneh, ganti versi Mulu tapii gitu gitu aja pun",1,2024-11-20 12:06:26,Negatif,,apk aneh ganti versi mulu tapii gitu gitu aja pun,aplikasi aneh ganti versi mulu tapii gitu gitu saja pun,aplikasi aneh ganti versi mulu tapii gitu gitu,"['aplikasi', 'aneh', 'ganti', 'versi', 'mulu', 'tapii', 'gitu', 'gitu']",aplikasi aneh ganti versi mulu tapi gitu gitu
udah masuk pke password baru tpi ttep ga bisa submit ini gmna besok pas hari H klo g bsa masuk?????,1,2024-11-20 11:55:55,Negatif,,udah masuk pke password baru tpi ttep ga bisa submit ini gmna besok pas hari h klo g bsa masuk,sudah masuk pke password baru tpi ttep tidak bisa submit ini gmna besok saat hari h klo g bsa masuk,masuk pke password tpi ttep submit gmna besok h klo g bsa masuk,"['masuk', 'pke', 'password', 'tpi', 'ttep', 'submit', 'gmna', 'besok', 'h', 'klo', 'g', 'bsa', 'masuk']",masuk pke password tpi ttep submit gmna besok h klo g bsa masuk
Kok ndk bisa di update,4,2024-11-20 11:54:59,Positif,,kok ndk bisa di update,mengapa ndk bisa di update,ndk update,"['ndk', 'update']",ndk update
Di suruh update versi 2.73 malah loading trus ini gimna,1,2024-11-20 11:53:32,Negatif,,di suruh update versi 273 malah loading trus ini gimna,di suruh update versi 273 malah loading trus ini bagaimana,suruh update versi 273 loading trus,"['suruh', 'update', 'versi', '273', 'loading', 'trus']",suruh update versi 273 loading trus
Siip,5,2024-11-20 11:53:16,Positif,,siip,siip,siip,['siip'],siip
Tidak bisa di upgrade,3,2024-11-20 11:49:48,Netral,,tidak bisa di upgrade,tidak bisa di upgrade,upgrade,['upgrade'],upgrade
"Sedikit sedikit update, sedikit sedikit update, baru login saja susah, kasihan kami di pelosok",1,2024-11-20 11:48:28,Negatif,,sedikit sedikit update sedikit sedikit update baru login saja susah kasihan kami di pelosok,sedikit sedikit update sedikit sedikit update baru login saja susah kasihan kami di pelosok,update update login susah kasihan pelosok,"['update', 'update', 'login', 'susah', 'kasihan', 'pelosok']",update update login susah kasihan pelosok
Bagus,5,2024-11-20 11:47:54,Positif,,bagus,bagus,bagus,['bagus'],bagus
🙂pusingh,1,2024-11-20 11:46:42,Negatif,,pusingh,pusingh,pusingh,['pusingh'],pusingh
Tidak bisa di-update,5,2024-11-20 11:45:20,Positif,,tidak bisa diupdate,tidak bisa diupdate,diupdate,['diupdate'],diupdate
Lancar lancar,5,2024-11-20 11:44:34,Positif,,lancar lancar,lancar lancar,lancar lancar,"['lancar', 'lancar']",lancar lancar
aplikasi ini tidak mau terupdate,3,2024-11-20 11:38:20,Netral,,aplikasi ini tidak mau terupdate,aplikasi ini tidak ingin terupdate,aplikasi terupdate,"['aplikasi', 'terupdate']",aplikasi terupdate
sangat baik,4,2024-11-20 11:36:30,Positif,,sangat baik,sangat baik,,[],
Ok lh,1,2024-11-20 11:32:53,Negatif,,ok lh,ok lh,ok lh,"['ok', 'lh']",ok lh
Semoga jaya KPU Semoga lancar d hari H Aamiin,5,2024-11-20 11:31:02,Positif,,semoga jaya kpu semoga lancar d hari h aamiin,semoga jaya kpu semoga lancar d hari h aamiin,semoga jaya kpu semoga lancar d h aamiin,"['semoga', 'jaya', 'kpu', 'semoga', 'lancar', 'd', 'h', 'aamiin']",moga jaya kpu moga lancar d h aamiin
Payah,2,2024-11-20 11:29:55,Negatif,,payah,payah,payah,['payah'],payah
Bintang 1 dulu ntar kalau udah gampang digunakan baru dikasih bintang 5,1,2024-11-20 11:26:31,Negatif,,bintang 1 dulu ntar kalau udah gampang digunakan baru dikasih bintang 5,bintang 1 dulu ntar kalau sudah gampang digunakan baru dikasih bintang 5,bintang 1 ntar gampang dikasih bintang 5,"['bintang', '1', 'ntar', 'gampang', 'dikasih', 'bintang', '5']",bintang 1 ntar gampang kasih bintang 5
"Mudah""an pas hari H lancar tidak ada kendala",5,2024-11-20 11:20:12,Positif,,mudahan pas hari h lancar tidak ada kendala,mudahan saat hari h lancar tidak ada kendala,mudahan h lancar kendala,"['mudahan', 'h', 'lancar', 'kendala']",mudah h lancar kendala
Smoga lancar Amin,5,2024-11-20 11:19:20,Positif,,smoga lancar amin,smoga lancar amin,smoga lancar amin,"['smoga', 'lancar', 'amin']",smoga lancar amin
Alhamdulillah lancar,4,2024-11-20 11:14:19,Positif,,alhamdulillah lancar,alhamdulillah lancar,alhamdulillah lancar,"['alhamdulillah', 'lancar']",alhamdulillah lancar
punya saya gk bisa di update apk ke versi 2.73 nya ya??mohon solusinya,3,2024-11-20 11:14:16,Netral,,punya saya gk bisa di update apk ke versi 273 nya yamohon solusinya,punya saya tidak bisa di update aplikasi ke versi 273 nya yamohon solusinya,update aplikasi versi 273 nya yamohon solusinya,"['update', 'aplikasi', 'versi', '273', 'nya', 'yamohon', 'solusinya']",update aplikasi versi 273 nya yamohon solusi
moga saja lancar tanpa kendala sampai hari H,3,2024-11-20 11:13:56,Netral,,moga saja lancar tanpa kendala sampai hari h,moga saja lancar tanpa kendala sampai hari h,moga lancar kendala h,"['moga', 'lancar', 'kendala', 'h']",moga lancar kendala h
Sangat membantu sekali apk ini👍,5,2024-11-20 11:13:21,Positif,,sangat membantu sekali apk ini,sangat membantu sekali aplikasi ini,membantu aplikasi,"['membantu', 'aplikasi']",bantu aplikasi
"Kelaz menyala sirekap, pemerintah harus seperti ini sangat baik dan keren🔥🔥",5,2024-11-20 11:08:51,Positif,,kelaz menyala sirekap pemerintah harus seperti ini sangat baik dan keren,kelaz menyala sirekap pemerintah harus seperti ini sangat baik dan keren,kelaz menyala sirekap pemerintah keren,"['kelaz', 'menyala', 'sirekap', 'pemerintah', 'keren']",kelaz nyala sirekap perintah keren
Sanagat luar biasa,5,2024-11-20 11:08:16,Positif,,sanagat luar biasa,sanagat luar biasa,sanagat,['sanagat'],sanagat
