content,score,at,label
Suka eror terus ya udh pake sandi masih aja pake sidik jari /kata sandi hp hadeeh,1,2024-11-12 22:47:06,Negatif
"aplikasi membosankan sangat menguras tenaga saat beusaha membukanya mau siang,malam, subu tetap tdk bisa... sangat melelahkan😕",1,2024-11-12 21:46:53,Negatif
Ya mantap,3,2024-11-12 21:22:09,Netral
Versi sudah kadaluarsa,1,2024-11-12 21:20:49,Negatif
Kenap app nya tidak dapat di gunakan?,1,2024-11-12 19:16:56,Negatif
Tidak profesional,1,2024-11-12 18:14:02,Negatif
Ko punya sya Masi persi lama si blm bisa persi baru,5,2024-11-12 17:46:31,Netral
Aplikasinya bapuk,1,2024-11-12 17:27:38,Negatif
"Tolong dipercepatkan bosku,ini ko eror terus",3,2024-11-12 17:19:51,Negatif
Aplikasi bosok,1,2024-11-12 17:18:40,Negatif
Aplikasinya jelek banget gak bisa di untuk sekelas kpu aja bikin aplikasi kayaknya gini hadeh,1,2024-11-12 16:46:28,Negatif
Good,3,2024-11-12 16:45:46,Positif
Link dari KPU pas di klik dari PlayStore malah versi gabisa digunakan...hadeuhhhhhhhhhhhhhhhhhh,1,2024-11-12 15:52:19,Negatif
Tak bisa dibuka. Entah siapa yang salah,1,2024-11-12 15:20:13,Negatif
Sangat membantu untuk persiapan rekap hasil pemilu,5,2024-11-12 15:09:24,Positif
Lemot,5,2024-11-12 15:03:24,Negatif
Aplikasi ngak bisa di buka,2,2024-11-12 14:38:24,Negatif
Update versi 2.71 ini masih 2.55,1,2024-11-12 14:31:39,Netral
Otentikasinya ribet,1,2024-11-12 14:22:08,Negatif
"Halo min, App lupa password untk login, mohon bantuannya.",4,2024-11-12 14:15:01,Negatif
Bagus,5,2024-11-12 14:03:40,Positif
Gak jelas,1,2024-11-12 13:40:57,Negatif
Apk nya kok gak bisa digunakan mohon solusi nya,1,2024-11-12 13:39:48,Negatif
Bagus,5,2024-11-12 13:39:38,Positif
aplikasi rusak ga niat bikin wkwk,1,2024-11-12 13:39:10,Negatif
"Aplikasi sirekap mempermudah dan amana, serta aman dalam Pilkada dan Presiden.",5,2024-11-12 13:35:24,Positif
مُمتاخ,5,2024-11-12 13:32:38,Positif
Bagus,5,2024-11-12 13:23:20,Positif
Bagus sirekap tp ga bisaa di buka,5,2024-11-12 13:19:06,Positif
Kami oprator Kpps sangat Susa utk Loding,5,2024-11-12 13:14:34,Negatif
Ok,5,2024-11-12 13:09:42,Netral
Tidak bisa digunakan link dari KPU tapi No.respon Ampe skrang,2,2024-11-12 13:00:22,Negatif
Semogah kejadiannya seperti waktu pemilihan presiden DOWN. lagian aplikasi masih perlu banyak evaluasi di pake.,1,2024-11-12 12:59:20,Negatif
Bagus,4,2024-11-12 12:57:55,Positif
Mantap,5,2024-11-12 12:45:51,Positif
Aplikasi bagus,5,2024-11-12 12:43:44,Positif
SANGAT JELEK,1,2024-11-12 12:39:24,Negatif
Aplikasi lucu,3,2024-11-12 12:31:57,Netral
Aplikasi negara kok lucu gini,1,2024-11-12 12:29:36,Negatif
luar biasa,4,2024-11-12 12:15:54,Positif
"Aplikasi sirekap mungkin bisa membantu,tapi sayangnya kenapa tidak bisa di buka di TPS 011,JATIMEKAR,JATIASIH,KOTA BEKASI,JAWA BARAT",5,2024-11-12 11:50:25,Negatif
Menggunakan si rekap pd waktu pilpres,4,2024-11-12 11:48:21,Netral
"Aplikasi ga jelas,di suruh login paling lambat 12/11/2024,aplikasi di buka aja ga bisa,malah muncul notif aplikasi versi ini sudah tidak dapat digunakan,padahal link nya dari KPU",1,2024-11-12 11:46:05,Negatif
Apk Ngaco,1,2024-11-12 11:44:53,Negatif
Sekelas negara bobrok kali untuk apk ini.,1,2024-11-12 11:40:09,Negatif
Ga bisa di pakai,1,2024-11-12 11:38:07,Negatif
Ok,5,2024-11-12 11:28:27,Netral
"Apaa la kpu ni, masak udah update pun ga bisa juga. Jangan gara² apk ga tidor² org di buat Padahal hp udah vivo v23 5G masak ga bisa submit",1,2024-11-12 11:22:02,Negatif
Ok,5,2024-11-12 11:21:35,Netral
Bagus,5,2024-11-12 11:16:44,Positif
"Aplikasi gk jelas, beribet, ini aplikasi kpu tp bukanya mempermudah malah d persulit. Kita itu sudah bersedia membantu untuk kpu. Tp d bikin ribet dan sulit masuknya. Sudah download hapus download lg ttp z. Useless.",1,2024-11-12 11:10:01,Negatif
Aplikasi kurang baguss,3,2024-11-12 11:08:03,Negatif
Hp saya kok tidak di ijinkan . Kira kira solusinya gimana ya ?,3,2024-11-12 11:04:56,Negatif
Aneh,1,2024-11-12 11:04:04,Negatif
"Tolong bisa di buka di iphone , dan aplikasi ini seperti aplikasi yg susah berjalan. Entah drmana asalnya yg buat gk kompeten",1,2024-11-12 10:46:54,Negatif
Aplikasi SAMPAH .. gak bisa apa lu pada bikin aplikasi ajg,1,2024-11-12 10:46:07,Negatif
Ok,5,2024-11-12 10:41:26,Netral
Versi ini sudah tidak dapat digunakan ....?,1,2024-11-12 10:32:23,Negatif
ANEH. Seharus nya belajar dari pengalam pilpres . Ini malah tambah parah susah masuk nya,1,2024-11-12 10:27:28,Negatif
Aplikasinya belum bisa di gunakan,5,2024-11-12 10:14:23,Negatif
Kabarin kalo udah bisa di buka dehh,2,2024-11-12 10:06:43,Negatif
Ok,5,2024-11-12 10:04:46,Netral
Mntap,5,2024-11-12 09:55:42,Positif
Gini amat bikin aplikasinya kaya yg glk niat banget .,1,2024-11-12 09:54:28,Negatif
aneh gk bisa di buka,5,2024-11-12 09:50:46,Negatif
ga bs terbuka.mohon untuk diupdate agar bs masuk,1,2024-11-12 09:46:32,Negatif
Bobbrok,1,2024-11-12 09:20:48,Negatif
Aplikasi terbaik 🤣,1,2024-11-12 09:13:39,Positif
Mantap,5,2024-11-12 08:59:34,Positif
"Yang bermasalah apk nya,,, kpps yang kena semprot pps. Korupsi digedein, bikin apk untuk bangsa kek gak modal gini.",1,2024-11-12 08:58:50,Negatif
Pengen maju tapi kyk gini amat sistemnya hdeh,1,2024-11-12 08:58:30,Negatif
Kenapa tidak bisa di buka appnya,1,2024-11-12 08:52:56,Negatif
Aplikasi gak bagus kok dipakai buat bangsa Lucu jasa Memalukan,1,2024-11-12 08:42:10,Negatif
Mantap dan sederhana,5,2024-11-12 08:28:39,Positif
Aplikasi g jelas masih aj di pake..skrang malah aplikasi versi tidak dapat digunakan,1,2024-11-12 08:15:10,Negatif
Aku kasih bintang satu,1,2024-11-12 08:09:04,Negatif
Susah,1,2024-11-12 08:02:32,Negatif
Semoga bisa diperbaiki lagi,3,2024-11-12 07:45:57,Netral
Semoga tak ada kendala dan sudah diperbaharui apknya,5,2024-11-12 07:31:39,Netral
"Ra keno d install ""Aplikasi versi ini sudah tidakdapat digunakan"" 😮‍💨",1,2024-11-12 07:17:51,Negatif
Kalau memang belum siap jangan langsung di praktekan . Siap kan dulu apk nya dengan baik . Masa eror mulu. Cair banyak nih .,1,2024-11-12 07:07:31,Negatif
Mudah2an lancar,5,2024-11-12 07:05:35,Positif
Aplikasi pemerintah semua sama,4,2024-11-12 06:56:13,Netral
Tidak bisa di gunakan,2,2024-11-12 06:56:11,Negatif
Ok,5,2024-11-12 06:48:11,Netral
Bukan membantu malah makin susah sekelas pemerintah,1,2024-11-12 06:44:10,Negatif
Mantep,5,2024-11-12 06:42:17,Positif
"susah banget login,pas bisa login malah log out sendiri",1,2024-11-12 06:21:47,Negatif
Sangat luar biasa,5,2024-11-12 06:19:25,Positif
Kpu luar biasa,5,2024-11-12 06:08:47,Positif
Aplikasi nob,2,2024-11-12 05:59:45,Negatif
Saya perna menjadi bagian pengumuman suara,5,2024-11-12 05:30:21,Netral
Kalau tidak bisa bikin apk Mending pake google form aja 🤣🤣🤣,1,2024-11-12 05:23:23,Negatif
Saya dari kemarin tidak bisa login .. sampai gnti pasword 5x ..,1,2024-11-12 05:16:22,Negatif
Siap,5,2024-11-12 05:07:47,Netral
Gimana nie g bisa dibuka,2,2024-11-12 04:56:23,Negatif
Error tidak bisa di Gunakan,1,2024-11-12 04:53:06,Negatif
"Susah login, pemakaian sangat tidak praktis, fitur² ora jelas, dan gak ada fitur create new akun, pokoknya nih aplikasi minim fitur, aplikasi miskis",1,2024-11-12 04:49:33,Negatif
Ok,5,2024-11-12 04:42:17,Netral
"wkwkwk padahal baru tadi dapet sms disuruh instal apknya pas di instal malah error ga jellas wkwk,apk pemerintah gini amat ga bisa update dan malahan saat masuk apk nya udah ga bisa digunakan karna versinya udah terlalu jadul hahahahaha",1,2024-11-12 04:42:06,Negatif
Mudah,3,2024-11-12 04:35:33,Positif
Apa yg bisa diharapkan dari aplikasi bawaan pemerintah. Astagaaaaa,1,2024-11-12 04:31:25,Negatif
lemot,1,2024-11-12 04:29:09,Negatif
Bagus,5,2024-11-12 04:28:53,Positif
Sagat bagus,5,2024-11-12 04:27:27,Positif
"Tadi Pagi sya Dapat WA dari KPU Untuk install, setelah install Selesai di buka , gak Bisa ada kata2: Aplikasi versi ini, Sudah Tidak dapat digunakan Ini angel tuturane dikasih deadline 19-11-2024",3,2024-11-12 04:21:56,Negatif
Oke,5,2024-11-12 04:17:28,Netral
"Ai sakirana apk can siap pake mah ulah waka dititah install atuhlah.. Sekelas apk yg notabene-nya milik KPU kos kieu patut.. Nu baleg atuh nyieun apk teh, ciga euweuh jalma pinter wae..",1,2024-11-12 04:14:26,Negatif
Bisa tolong kalo Lupa kata sandi gimana cara mengatasinya ??,3,2024-11-12 04:13:24,Netral
Aplikasi ga jelas,1,2024-11-12 04:13:15,Negatif
LOADING,3,2024-11-12 03:44:08,Negatif
Tidak cuma memperlama tolong jangan dikorupsilah buat bikin aplikasi,1,2024-11-12 03:36:40,Negatif
Good,5,2024-11-12 03:31:41,Positif
"dikirim WA disuruh login, kocak app nya aja belum siap, gimana sih?",1,2024-11-12 03:23:31,Negatif
Aplikasi kurang bekerja dgn sampurna,1,2024-11-12 03:17:57,Negatif
"Mau sampai kapan ini update nya sedangkan pemilihan udah 2 minggu lagi, tolong dong kpu dipercepat inikan belum login nya terkadang suka eror tuh",2,2024-11-12 03:12:31,Negatif
"Aplikasinya malu maluin, ga update, sekelas negara Indonesia",1,2024-11-12 02:58:24,Negatif
Tidak bisa masuk,1,2024-11-12 02:58:24,Negatif
"Versi usang, untuk pilkada 2024",1,2024-11-12 02:55:57,Negatif
"Kasian aplikasi pemerintah kok gini, miris!!",1,2024-11-12 02:39:31,Negatif
Baru mendaptar,5,2024-11-12 01:53:01,Netral
Aplikasi gak bisa di gunakan,2,2024-11-12 01:44:45,Negatif
Bagimna ini e.........😡😡,1,2024-11-12 01:15:17,Negatif
"Maaf saran saja Supaya petugas KPPS, terutama yg menjadi petugas Sirekap tidak meragukan keamanan data yg di HP, seharusnya aplikasi yg di pakai bukan APK. Kenapa ? Karena aplikasi APK sering digunakan sebagai tindak kejahatan perbankan, orang yg meng instal APK punya aplukasi mobil banking saldonya dapat terkuras. Terimakasih Salam",4,2024-11-12 01:13:03,Netral
coba yg buat apk jangan bikin pusing,1,2024-11-12 01:00:51,Negatif
Aplikasi ini sangatlah bagus akan tetapi masih ada kekurangannya.,5,2024-11-12 00:56:07,Netral
Apk sudah di donload tpi tdak bisa digunakan,1,2024-11-12 00:41:30,Negatif
mudah mudah apk berjalan lancar,5,2024-11-12 00:31:18,Positif
Tidak bisa di gunakan,1,2024-11-12 00:08:51,Negatif
Mohon untuk segera memperbaiki ke versi yang sesuai ... Agar bisa digunakan oleh petugas sirekap . Saya disini sirekap 1 belum bisa login aplikasi tersebut .,1,2024-11-12 00:05:18,Negatif
Sangat baik,5,2024-11-11 23:47:17,Positif
Aplikasi versi ini sudah tidak dapat digunakan 🙏🏻,1,2024-11-11 23:45:47,Negatif
Mantap....,5,2024-11-11 23:25:14,Positif
Belum bisa di buka,5,2024-11-11 23:22:50,Negatif
"Tidak bisa di gunakan, pilkada tiggal ngitung hari",1,2024-11-11 22:52:14,Negatif
Tidak bisa di buka aplikasinya. Klo sekiranya belum siap bikin aplikasi jgn dulu di share lah app nya.,1,2024-11-11 22:51:13,Negatif
Bikin kaya gini kan... ngeluarin duit banyak...tp kenapa aplikasinya bgini hadeuh... pemerintah,1,2024-11-11 22:42:41,Negatif
serius ini gak bisa di download di ip nih??,1,2024-11-11 22:41:08,Negatif
Kenapa saya tdk bisa buka aplikasi ini,3,2024-11-11 22:22:36,Negatif
"Tidak bisa digunakan, ngga bisa login",1,2024-11-11 22:12:09,Negatif
Aplikasinya lucu sekali aneh,1,2024-11-11 21:57:27,Negatif
"min, ini masa di hp ku (vivo) ngestuck di bagian suruh pilih rekapitulasi, bimtek dll?? gak mau login kocak",2,2024-11-11 21:37:20,Negatif
Gak bisa login macam mana ini,1,2024-11-11 19:58:41,Negatif
Untuk memudahkan file,5,2024-11-11 19:43:25,Positif
Aplikasinya sekelas dengan SDM dipemerintahannya.,1,2024-11-11 17:56:42,Negatif
Ok,5,2024-11-11 17:17:05,Netral
"Saat dibutuhkan dan dipakai pada hari H, tidak berguna wkwkwk",3,2024-11-11 16:11:52,Netral
Ko ga bisa di buka yah???,1,2024-11-11 15:57:47,Negatif
Aplikasi sangat bagus dan mempersulit,1,2024-11-11 15:49:58,Netral
ga bisa dibuka,3,2024-11-11 15:43:26,Negatif
Lemot,2,2024-11-11 15:26:24,Negatif
Aplikasi ga jelas,1,2024-11-11 15:09:59,Negatif
mantap,5,2024-11-11 15:08:28,Positif
Koq versi ini gak bisa digunakan.. Apa sengaja di off dulu 😆😆,3,2024-11-11 15:06:16,Negatif
"masa aplikasinya gabisa masuk2 terus sih padahal sudah diulang beberapa kali,percuma saya update teknologi kalau aplikasinya masih kayak gini",1,2024-11-11 15:01:24,Negatif
Mantap,5,2024-11-11 14:55:04,Positif
Ok,5,2024-11-11 14:54:58,Netral
Ko kenapa tidak bisa di gunakan,5,2024-11-11 14:52:56,Negatif
aplikasi ini tidak bisa di upgrade pada versi berikutnya,1,2024-11-11 14:31:10,Negatif
Tidak bisa login!,1,2024-11-11 14:24:12,Negatif
Ok,5,2024-11-11 14:12:01,Netral
Dari masa pemilu nape si ah bikin puyeng terus,1,2024-11-11 13:55:04,Negatif
Memuaskan,5,2024-11-11 13:44:07,Positif
Untuk pilkada apakah sudah di update,5,2024-11-11 13:33:34,Netral
Aplikasi TDK bs di gunakan di hp saya.poco X3 pro iOS 14,5,2024-11-11 13:14:37,Negatif
Mantap,3,2024-11-11 13:02:29,Netral
"Apk tolol buat gini aja gak becus,giliran korup baru pada pintar.",1,2024-11-11 13:01:12,Negatif
Update versi nyaaa,3,2024-11-11 12:58:36,Netral
Versi berapa yg bagus ? Dan bh Isa terbuka ?,5,2024-11-11 12:56:14,Netral
Aplikasi bobrok....tlg google hapus saja apps ini dari playstore...ini apps kategory spam...,1,2024-11-11 12:54:45,Negatif
Versi terbaru kapan diupgrade?,3,2024-11-11 12:48:31,Netral
Gk update,1,2024-11-11 12:45:39,Negatif
Kaga bisa di buka,1,2024-11-11 12:37:16,Negatif
Bosokk,1,2024-11-11 12:20:53,Negatif
Sudah tidak dapat di gunakan versi ini,5,2024-11-11 12:16:40,Negatif
Ini sudah berkali² saya unistal tetap tidak bisa di loggin,2,2024-11-11 12:09:06,Negatif
Belum terapdut,1,2024-11-11 12:04:47,Negatif
"Utk sirekap versi trbaru, tautan link nya sy terima d group admin sirekap dan itu sdh versi 2.71 , kl yg d playstore ini msh versi 2.55. KPPS bs tnya k PPS atau PPK trkait tautan link download nya. Jd mreka yg download dr play store ada ket aplikasi tdk berlaku / tdk bs d pergunakan. 🙏",3,2024-11-11 12:00:40,Netral
Terimakasih sangat membantu pada Kpps,5,2024-11-11 11:53:50,Positif
Ga bisa buka aplikasi ya,1,2024-11-11 11:44:56,Negatif
Aplikasi versi ini sudah tidak bisa digunakan 😭,2,2024-11-11 11:43:37,Negatif
"Gagal mendapatkan kuci digital, katanya di suruh clear data apk dulu, udh dilakuin, ttp aja, nggk bisa, knp?, pusing dr kemarin nyoba berbagai cara, ttp aja nggk bisa.",1,2024-11-11 11:43:24,Negatif
Bagus,5,2024-11-11 11:40:31,Positif
Negara besar belum mampu atau memang sengaja tdk dimampukan menyediakan aplikasi untuk hajat nasional sepenting ini.... Memalukan,1,2024-11-11 11:37:16,Negatif
susah,1,2024-11-11 11:32:56,Negatif
Juruani susanti,5,2024-11-11 11:29:52,Netral
Saya mendaftar Anggota kpps sebagai posisi apk sirekap saya sudah menerima link dan verifikasi untuk login namuh aplikasi sirekap tetap tidak bisa di buka tolong bantu saya,2,2024-11-11 11:28:56,Negatif
Aplikasi yang dikirim kpu langsung tapi versi yang tidak bisa dibuka kocak,1,2024-11-11 11:06:39,Negatif
siiip,5,2024-11-11 10:55:14,Netral
Bagus,5,2024-11-11 10:53:57,Positif
Ternyata versi nya masih belum di upgrade,3,2024-11-11 10:32:25,Netral
"Baru saja download, trus mau login, tulisan nya aplikasi ini sudah tidak di gunakan.. Punya pemerintah lho ini wkwk",1,2024-11-11 10:24:38,Negatif
ok,5,2024-11-11 10:19:36,Netral
Bagus,5,2024-11-11 10:17:22,Positif
Sangat membantu,5,2024-11-11 10:09:45,Positif
Udah di instal tapi gak bisa login kenapa yah ???,2,2024-11-11 10:04:37,Negatif
Ga bisa terpakai,1,2024-11-11 10:02:37,Negatif
Eror mulu,1,2024-11-11 10:01:22,Negatif
Baik,5,2024-11-11 10:00:37,Positif
Bagud,5,2024-11-11 09:55:56,Positif
Ngeleg,5,2024-11-11 09:50:11,Negatif
"siap, untuk update sirekap",5,2024-11-11 09:43:51,Netral
Bagussss,5,2024-11-11 09:38:40,Positif
Sudah tidak bisa digunakan,1,2024-11-11 09:32:18,Negatif
Sangat membantu dalam rekap,5,2024-11-11 09:24:20,Positif
Sangat lucu ya aplikasi pemerintah kok seperti ini... Hampir semua smartphone tidak bisa terinstal Aneh sekali,1,2024-11-11 09:16:55,Netral
Ko nggak bisa masuk padahal kemarin bisa langsung masuk sekarang malah kesana kesini versi sudah tidak bisa di gunakan,1,2024-11-11 09:00:37,Negatif
Bagus,5,2024-11-11 08:58:09,Positif
Prangkat tidak kompatibel rungkaadd,1,2024-11-11 08:57:57,Negatif
Good,5,2024-11-11 08:56:26,Positif
Aplikasi tidak bisa di buka,5,2024-11-11 08:49:15,Negatif
Ada masalah apa sih kawan Aku pake hp dengan versi android 14. Kenapa ngga bisa buat ngebuka,1,2024-11-11 08:47:02,Negatif
Mudah-mudahan bisa memudahkan pekerjaan sebagai petugas KPPS,3,2024-11-11 08:28:08,Netral
Ok,5,2024-11-11 08:03:51,Netral
PERLU PERBAIKAN,1,2024-11-11 08:03:31,Netral
Tlg di upgared donk,5,2024-11-11 08:03:14,Netral
"Kita menemukan bebrapa bug, di aplikasinya. sedikit kritik aplikasi sekelas pemerintahan seharusnya malu.",1,2024-11-11 07:59:03,Negatif
Pilkada 2024,4,2024-11-11 07:58:59,Netral
Pernah menjadi Anggota kpps,2,2024-11-11 07:57:08,Netral
"Agak aneh soalnya,,, Aplikasi tidak bisa digunakan lagi, padahal kita baru loging perdana.",5,2024-11-11 07:41:51,Positif
App nya ga bisa submit,1,2024-11-11 07:37:52,Negatif
"Kasih jempol saja tapi kebawah. Jelek, belum siap digunakan, memaksakan, meresahkan",1,2024-11-11 07:34:39,Negatif
Apk nya paya,2,2024-11-11 07:29:18,Negatif
Mantap,5,2024-11-11 07:23:40,Positif
Berjalan dengan Sukses,5,2024-11-11 07:15:53,Positif
kenapa gak bisa di buka,2,2024-11-11 06:54:05,Negatif
Best,5,2024-11-11 06:53:12,Positif
Sangat tepat,5,2024-11-11 06:51:52,Positif
"Pengalaman saya menggunakan aplikasi ini sangat bagus,karena dokumen² yang ada didalamny orang tidak tahu selain kita.",5,2024-11-11 06:43:48,Positif
Aplikasi yg sangat jelek sudah didownload tapi tidak bisa dibuka,1,2024-11-11 06:41:56,Negatif
Afk perlu di kembangkan kambeli,1,2024-11-11 06:41:32,Negatif
"Baru donlod aplikasi, suruh pasang kunci layar, udah gitu ga bisa jg. Trus suruh kunci pakai sidik jari. Aku yg ga pernah ngunci hp, jd bingung sendiri.",2,2024-11-11 06:39:34,Negatif
Cara mempersulit hidup 🤣,1,2024-11-11 06:27:42,Negatif
Bagus aplikasi ini,3,2024-11-11 05:59:57,Positif
Ribet,1,2024-11-11 05:15:51,Negatif
Ok,5,2024-11-11 05:11:49,Netral
Penggunaan aplikasi ini mudah,4,2024-11-11 05:08:34,Positif
Udh ke download tapi gak bisa dibuka,1,2024-11-11 05:06:37,Negatif
Terlalu buruk.,1,2024-11-11 05:05:30,Negatif
"Aplikasi versi ini tidak dapat di gunakan,coba tolong dibuatkan pembaruannya/updatenya ,",1,2024-11-11 05:02:52,Negatif
Ok,5,2024-11-11 04:57:46,Netral
"Yang buat aplikasi tolong di benerin lah, masa bentar lagi apk mau di pake ada tulisan apk ini tidak dapat di gunakan, terus di grup malah di kasih link buat instal apk. Mana pas di klik muncul itu apk berbahaya, bisa ada virus nya, bisa nyuri data juga, bisa bocor informasi di hp juga. Piye toh. Kita tuh cuma mau kerja, kalau mau memfasilitasi yang bener dong bikin apk nya. Sekelas pemerintah ko bikin aplikasi gak karuan gini. Plin plan. Musingin yang make aja. Tambah pajuriwet",1,2024-11-11 04:50:45,Netral
Agak sedikit lelet,4,2024-11-11 04:49:30,Netral
Ini pak masih aktif kan atau kadaluarsa,1,2024-11-11 04:49:04,Netral
"kalau udah gak bisa pakai versi ini setidaknya upgrade melalui playstore,udah coba download pake link yang dikasi dari sononya juga g bisa eughh,udah mendekati hari h tapi masih banyak yang belum bisa masuk apk!",1,2024-11-11 04:33:37,Negatif
"Aplikasi pemerintah ini bobrokk, bikin onar, sekelas KPU ga bisa mengoptimalkan jangankan bekerja, login aja susah. Saya rasa ga ada lagi judul berita tv yg semenyakitkan ""SUARA RAKYAT VS SIREKAP""",1,2024-11-11 04:31:49,Negatif
Mantap sekali,5,2024-11-11 04:30:00,Positif
Parah sih,1,2024-11-11 04:24:23,Negatif
Baik,5,2024-11-11 04:19:07,Positif
Aplikasi patah tidak berguna,1,2024-11-11 04:12:38,Negatif
Kereeennn,5,2024-11-11 03:53:26,Positif
Bagus banget bjir wkwk,3,2024-11-11 03:52:41,Positif
Tidak bisa masuk ke aplikasi,1,2024-11-11 03:50:53,Negatif
Saya pernah menjadi kpps pemegang aplikasi sirekap dari pilkada 2020,5,2024-11-11 03:45:25,Netral
Sangat membantu,5,2024-11-11 03:38:24,Positif
Bagus dan cepat,5,2024-11-11 03:36:53,Positif
Mantul,5,2024-11-11 03:29:10,Positif
"Kalau nggak butuh² amat ne aplikasi malas benar dah, ini sudah puluhan kali instal trus uninstall. Aplikasi sudah tidak berlaku terus kenapa di arahkan kesini kalau tidak berlaku 😵‍💫",2,2024-11-11 03:25:00,Negatif
sirekap,5,2024-11-11 03:09:22,Netral
Aplikasi bobrok gini masih jg dipake !!! Apa aja kerja kalian yg di kpu !!! Hadeeuh,1,2024-11-11 03:07:11,Negatif
Maju terus Negriku,5,2024-11-11 03:06:49,Positif
Mantap,5,2024-11-11 02:57:55,Positif
Sangat baik untuk digunakan,5,2024-11-11 02:56:45,Positif
Baik cuma saya blum dapat username dan password,3,2024-11-11 02:54:59,Netral
Aplikasi tidak bisa digunakan....versi sdh beda....tolong diupgrade buat besok batasnya,3,2024-11-11 02:48:01,Negatif
Sempat login tapi pas mau login lagi invalid password Ama username,3,2024-11-11 02:21:15,Netral
Keren,5,2024-11-11 02:17:29,Positif
Tidak dapat uptudate apk ini,5,2024-11-11 02:16:24,Negatif
"Dh bolak balik download.kenapa tetap saja GK bisa di buka? Dan bilang ""versi ini sudah tidak dapat di gunakan"" trus",4,2024-11-11 02:11:34,Negatif
Sabar Aja malahan aplikasi ini lebih bagus. Darinkemarin. Untuk gubenur dan walkot . Di di kelurahan kamu membuat aplikasi versi Offline nya biar permudah perhitungan. 🙏,5,2024-11-11 02:10:11,Positif
Aps kurang update,3,2024-11-11 02:01:24,Negatif
Masih terkendala belum bisa submit,5,2024-11-11 01:10:50,Negatif
Semoga Sirekap Lancar gada gangguan,5,2024-11-11 00:51:20,Positif
"Bagus,, tpi kadang ada masalah gx mau masuk",3,2024-11-11 00:44:28,Netral
"Bernar"" kacau🤦🏻 kok bukan makin bagus malahan makin jelek, sudah didownload malahan GK bisa digunakan. Mohon maaf namun setidaknya sebelum anda menghimbau penguna direkap untuk mendownload Aplikasih direkap mendingan dites dan diuji coba dulu kelayakan dan fungsih direkap itu sendiri apakah layak dan berhasil digunakan apa tidak! Saat pemilu direkap tinyatakan Eror kok sekarang saat pilkada malahan lebih kacau..! Buat aja aplikasih lain..",1,2024-11-11 00:12:42,Negatif
Parah..,1,2024-11-11 00:08:46,Negatif
Apalah,1,2024-11-11 00:05:06,Netral
tidak berguna,1,2024-11-10 23:20:35,Negatif
"Asli, mereka ga belajar dari waktu kasus Pilpres kemarin. Aplikasi error masih aja dipake",1,2024-11-10 23:07:21,Negatif
susah loading tetus,1,2024-11-10 23:06:18,Negatif
Apa ini gak guna,1,2024-11-10 22:39:38,Negatif
Aplikasi versi ini udah tidak bisa di gunakan,4,2024-11-10 22:28:49,Negatif
Ini masukan ya BPK/ibu terlebih Khusus Admin Atau pencipta Aplikasi ini . Kalo apknya sudah kadaluarsa dan Versinya sudah tidak bisa di gunakan Silahkan di upgrade kembali dong biar kita jangan buang2 Kuota Kita hanya Mendownload Apk ini ketika Di buka mohon mahaf aplikasi versi ini sudah tidak dapat digunakan 🙄 Mohon ditindak lanjuti 🙏 Terimakasih,5,2024-11-10 22:09:18,Netral
Oke,5,2024-11-10 21:35:32,Netral
aplikasi tidak dapat diakses,1,2024-11-10 21:19:44,Negatif
Aplikasi tidak bisa di gunakan,1,2024-11-10 18:53:54,Negatif
Saya tidak bisa daftar ni tolong bantu saya daftar k,5,2024-11-10 17:44:25,Negatif
Update woy,1,2024-11-10 17:29:23,Negatif
"Aplikasi gak jelas, padahal linknya langsung dari KPU,, 🤔, Parah",1,2024-11-10 17:19:31,Negatif
Mantap,5,2024-11-10 17:04:55,Positif
"Wis kacau , aplikasi nya sudah tidak dapat di gunakan .. Itu maksudnya apa yah",1,2024-11-10 16:50:06,Netral
"Sudah 3x pegang sirekap ga ada perubahan, bermasalah terus....",1,2024-11-10 16:45:43,Negatif
Saya maunya sirekap terbaru,1,2024-11-10 16:16:08,Netral
"Udah di download gs bisa di buka, tulisannya aplikasi ini sudah tidak dapat digunakan gimana ini",2,2024-11-10 16:11:14,Negatif
Sangat buruk tidak bermanfaat,1,2024-11-10 16:10:51,Negatif
Gimana ini udah dikirim link dari KPU tapi ketika di istal dan buka aplikasi sudah tidak berlaku katanya gimana ini,1,2024-11-10 15:57:36,Negatif
Masa dapat Likn langsung diarahkan ke Playsore di buka Versi ini sudah Tidak digunakan Lagi😡,1,2024-11-10 15:45:26,Negatif
Ok sipp,5,2024-11-10 15:43:12,Netral
luar biasa,5,2024-11-10 15:25:00,Positif
"Tolong Kameranya dibenerin biar ngga delay, cape banget hp udah geser masa kameranya belum",1,2024-11-10 15:15:53,Negatif
aplikasi sangat tidak bagus,1,2024-11-10 15:10:22,Negatif
Sudah di donlod tapi gak mau di bukak ada tulisan aplikasi ini sudak tidak di pakai,1,2024-11-10 15:01:25,Negatif
"Aplikasi bapuk, padahal tendernya gede juga",1,2024-11-10 15:01:08,Negatif
Mantaab,5,2024-11-10 14:51:25,Positif
Sudah didownload malah aplikasinya sudah tidak terpakai. Gak jelas,1,2024-11-10 14:40:31,Negatif
Menyala,5,2024-11-10 14:35:29,Positif
