content,score,at,label,Unnamed: 0
Buruk,1,2024-11-15 11:20:20,Negatif,
Aplikasi kasih lambat kerjaan orang,1,2024-11-15 10:20:06,Negatif,
Apkikasi baru,5,2024-11-15 10:11:33,Positif,
Baik,5,2024-11-15 10:06:00,Positif,
Lelet,1,2024-11-15 09:46:51,Negatif,
"bisa gadi pemerintah tuu serius dikit bikin apk, bnyak cacat susah upload",1,2024-11-15 09:28:02,Negatif,
Aplikasi telah di update jadi saya ganti rating,5,2024-11-15 08:54:32,Positif,
Baik,5,2024-11-15 08:34:11,Positif,
Bagus,5,2024-11-15 07:55:32,Positif,
Sangat buruk...di ubah kata sandi bukannya bisa masuk malah di submit...eror parahhhh,1,2024-11-15 07:45:35,Negatif,
Kenapa susah cocok permintaan pasword dg yg kita kirimkan,5,2024-11-15 06:51:01,Positif,
"Daftar buat pilkada 2024.. KPU Malah ngasih akun ke nomor bekas pemilu kemarin, bukan ke nomor yang terdaftar sekarang, alhasil belum bisa login🙈",2,2024-11-15 06:36:19,Negatif,
Ok,5,2024-11-15 06:19:14,Positif,
Susah buat login,1,2024-11-15 05:51:11,Negatif,
"Ini gimana ceritanya sih? Waktu udh mepet, apk ga bs d gunakan. Minta update, giliran di update malah nolak mulu.. Klu apk belum mateng mending ga usah di luncurkan apalagi hrs digunakan. Tolonglah.. Jgn mempersulit pekerjaan. Udah lah... Manual msh lbh baik.. Hapus aja apk ini. Makasih.",1,2024-11-15 05:46:53,Negatif,
Aplikasinya sangat bagus dan mudah di akses,5,2024-11-15 05:39:37,Positif,
Mantaaaappp keren,5,2024-11-15 05:20:49,Positif,
Akun ini sangat membantu penyelenggara dalam perhitungan suara.,5,2024-11-15 05:09:53,Positif,
Work it,5,2024-11-15 04:41:34,Positif,
"Lama loginnya berulang"" ga bisa masuk",2,2024-11-15 04:20:23,Negatif,
jos gandos. seneng bareng,5,2024-11-15 04:00:20,Positif,
"Apknya sering eror, tolong diperbaiki lagi",3,2024-11-15 03:50:38,Netral,
Aplikasi sekelas pemerintah aja kek gini. .😌😌 Emang danan pengembangan/operasi kemana. ?? Aneh bet,1,2024-11-15 03:48:47,Negatif,
👍🙏,5,2024-11-15 03:42:23,Positif,
Like,5,2024-11-15 03:41:04,Positif,
"Menyulitkan, TDK ada anggaran gaji tersendiri untuk pemegang sirekap",1,2024-11-15 03:40:07,Negatif,
Baru download udah di suruh update,1,2024-11-15 03:03:59,Negatif,
Tidak bisa di update,2,2024-11-15 01:43:55,Negatif,
Pernah sebagai anggota pantarli untuk pilpres dan wapres dan sebagai ketua TPS pilpres dan wapres,5,2024-11-15 01:06:56,Positif,
Semoga lancar di hari H nanti,4,2024-11-15 01:04:08,Positif,
Cukup bagus,5,2024-11-15 00:45:37,Positif,
nice,5,2024-11-15 00:31:09,Positif,
"Masih belum bisa dibuka, aplikasi sudah kadaluarsa",5,2024-11-15 00:22:07,Positif,
Seharusnya kasih opsi lupa kata sandi saat login di aplikasi bang admin. Untuk lebih mejaga keamanan data di dalam aplikasi.,3,2024-11-15 00:16:26,Netral,
Baik,5,2024-11-15 00:12:09,Positif,
Gak bisa submit Capek banget gak masuk ini aplikasi,1,2024-11-14 22:35:31,Negatif,
Mohon maaf.. Aplikasinya kok masih seperti ini. Di instal versi baru susah sekali.🙏🙏🙏🙏🙏,1,2024-11-14 22:12:32,Negatif,
Bagus,4,2024-11-14 20:37:20,Positif,
Ok,1,2024-11-14 20:25:08,Negatif,
Cacat gabisa di update!,1,2024-11-14 18:14:15,Negatif,
Eror trus saat unggah,4,2024-11-14 17:18:52,Positif,
Good,5,2024-11-14 15:50:12,Positif,
Saya kasi bl3 bintang dulu soalnya saya belum bisa login,3,2024-11-14 15:13:32,Netral,
Aplikasi banyak kekurangan nya,1,2024-11-14 14:49:56,Negatif,
Oke banget,5,2024-11-14 14:34:05,Positif,
Lebih muda di mengerti✅,5,2024-11-14 13:51:53,Positif,
Oke,5,2024-11-14 13:50:03,Positif,
Ribet,1,2024-11-14 13:40:13,Negatif,
Denga Bisnia Akun,5,2024-11-14 13:36:30,Positif,
"Udah lakukan update aplikasi, udah 100% malah gagal terus, udah lakukan 3x hasil masih sama gagal.",1,2024-11-14 12:52:50,Negatif,
"Apilikasi Terburuk yang pernah ada, Udah masukin Username dan password yang benar pun tetap nggak bisa login. Udah gitu nggak ada fitur lupa password, dll. Developer juga nggak jelas,di Chat lewat email pun tidak ada respon sama sekali. Bagaimana Pilkada nanti mau berjalan dengan baik ya, Apk SIREKAP nya saja bgni. Apk pemerintah kok, massa iya seburuk ini. Bener-bener memprihatinkan sekali.",1,2024-11-14 12:50:51,Negatif,
The best,5,2024-11-14 12:30:54,Positif,
Semoga lancar jaya,5,2024-11-14 12:26:50,Positif,
tolong dikasih menu lupa sandi,4,2024-11-14 12:25:22,Positif,
Butuh bantuan gimana cara mengganti sandi yang lupa.,1,2024-11-14 12:23:10,Negatif,
"User dan password tidak valid, padahal sudah aktivasi melalui link yang dikirim kpu",1,2024-11-14 11:50:32,Negatif,
sangat baik,5,2024-11-14 11:49:18,Positif,
"Tolong di tingkatkan lagi karna sering eror, masa username mah invalid Mulu gak bisa login",1,2024-11-14 11:36:33,Negatif,
Sangat tidak jelas untuk aplikasi yang milyaran rupiah,1,2024-11-14 11:32:18,Negatif,
Sebagai kpps,5,2024-11-14 11:17:46,Positif,
Aplikasi nyusahin.. Ribet banget bikin aplikasi.. Entar lain kali gue ganti KPU bikin aplikasi yg bener..,1,2024-11-14 10:56:16,Negatif,
Mohon untuk sirekap agar masalah masalah cepat perbaiki seperti dalam login atau semacamnya agar pelaksanaan pilkada berjalan lancar salam hormat,1,2024-11-14 10:54:41,Negatif,
aplikasi nya jelek.susah upload data,1,2024-11-14 10:49:36,Negatif,
Mantap,5,2024-11-14 10:43:34,Positif,
"Aplikasi bukan membantu pekerjaan kpps malah tambah ruwet, ga jelas'",1,2024-11-14 10:24:19,Negatif,
"Banyak kali masalahnya, ngabisin duit negera aja bisanya, IT nya siapa sih ini,, arsitektur nyapun gak rapih. KPU nyapun korupsi aja di gede ini. Pake otak dikitlah,",1,2024-11-14 10:13:01,Negatif,
"anggaran besar,tapi punya aplikasi penting kualitas rendah.",1,2024-11-14 10:11:19,Negatif,
sirekap ok,4,2024-11-14 09:12:38,Positif,
"Aplikasi apaan ini?, klo bikin aplikasi budget dana atau anggaran jangan di potong ya, ingat ya ini aplikasi untuk pemilu, baik itu pilpres ataupun pilkada, klo aplikasi burik kyk gini masih dipertahankan, ntar klo ada yang kalah bilang, sabotase lah, kecurangan lah, standar ganda lah, padahal emang aplikasinya yg burik",1,2024-11-14 08:42:42,Negatif,
"Error U+01EA ('Oogonek') is not available in the font Helvetica, encoding: WinAnsiEncoding",1,2024-11-14 07:40:56,Negatif,
Aplikasi bagus,3,2024-11-14 07:33:02,Netral,
Bagus,5,2024-11-14 07:30:11,Positif,
"Update selalu gagal,",1,2024-11-14 07:23:09,Negatif,
Bagus,5,2024-11-14 07:09:06,Positif,
Gagall dan gagall,1,2024-11-14 06:50:01,Negatif,
"Tak kasih bintang lima, semoga clurut clurut",5,2024-11-14 05:52:20,Positif,
Ok,5,2024-11-14 05:50:32,Positif,
"selevel pemerintah Aplikasi sangat kurang, sisi fitur apalagi desain, kalah jauh sama produk2 swasta,",2,2024-11-14 05:33:13,Negatif,
Ok,4,2024-11-14 05:24:24,Positif,
Ok,5,2024-11-14 04:04:14,Positif,
"Aplikasi tdk jelas login"" tidak jdi masuk",1,2024-11-14 04:03:58,Negatif,
Jelek kaya servernya,1,2024-11-14 03:21:25,Negatif,
Aplikasi busuk,1,2024-11-14 03:14:03,Negatif,
Blm bisa ligin,5,2024-11-14 03:10:04,Positif,
Susah login nya,4,2024-11-14 02:59:35,Positif,
Wow,5,2024-11-14 02:54:28,Positif,
Kalau lupa password caranya gi mna ya?,2,2024-11-14 02:20:55,Negatif,
Biasalah. Banyak kendala di dalamnya,1,2024-11-14 02:20:31,Negatif,
Sangat membantu sekali dalam pekerjaan🥰,5,2024-11-14 02:13:00,Positif,
Instal...uninstal..instql lagi..uninstal..berapa kali ya..ttp aja gak bisa masuk ke profile...gimana ini teh..,1,2024-11-14 02:07:08,Negatif,
Mantap👍,2,2024-11-14 01:57:52,Negatif,
Ok mantab,3,2024-11-14 01:47:54,Netral,
Aplikasi sangat baik,5,2024-11-14 01:39:02,Positif,
Tidak bisa di update,2,2024-11-14 01:27:32,Negatif,
Kenapa tidak di publish apk yang real akan kita pakai di pemilu?,1,2024-11-14 01:21:32,Negatif,
"Aplikasi paling gak jelasss, aneh bgt, masa Uda di download mau masukkan kode aja mental""trs. Sabar""in aja lah",1,2024-11-14 01:16:24,Negatif,
"Aplikasinya gini amat yaa... masa udah login tp macet ampe situ doang? Profil ga bisa diklik untuk pilih tahap lanjutan. Trus bagai mana? Dari PPS juga slow respon. Padahal udah dicoba dari sore ke malem, coba lagi jelang pagi, ampe uninstal, diinstal lagi, Hp udah direstart masih aja ga bisa. Trus bagaimana?",1,2024-11-14 00:51:10,Negatif,
sulit,1,2024-11-13 23:30:06,Negatif,
Sukses dan maju,5,2024-11-13 22:48:31,Positif,
Sudah bisa login,3,2024-11-13 22:22:13,Netral,
Ini Apk tiap hari harus di perbarui. Harus di hapus dulu baru unduh lagi...,2,2024-11-13 21:32:04,Negatif,
Sangat baik,5,2024-11-13 21:11:15,Positif,
lemah,1,2024-11-13 19:22:35,Negatif,
buat yang versi pilkada sudah jauh lebih baik dibanding dengan versi pemilu legislatif,3,2024-11-13 18:20:18,Netral,
"Mohon untuk memberikan respon, untuk Login saat submit mental seperti ini bagaimana yah? Aplikasinya tolong di atasi kembali untuk masalah masalah seperti ini agar nyaman untuk dipakai oleh banyak user",2,2024-11-13 16:51:43,Negatif,
"Sangat bermanfaat,semoga lancar pas hari H - nya",4,2024-11-13 16:46:39,Positif,
sekelas negara aja bikin aplikasi untuk penggunakan sehari dua hari 3x dalam 1 tahun kok caruk maruk kalah sama aplikasi marketplace atau pengiriman kurir yg di tiap hari di gunakan sama seluruh indonesia haha,5,2024-11-13 16:38:38,Positif,
Kebanyakan erorr,1,2024-11-13 16:35:13,Negatif,
Kak bagemna kalau dg lupa paswornya kak,1,2024-11-13 16:32:04,Negatif,
terlengkap,5,2024-11-13 16:28:09,Positif,
Maaf sirekap nya ga bisa masuk karna lupa sandi jd ga bisa log in salah username dan pasword trs,1,2024-11-13 15:43:32,Negatif,
Gabisa submit,1,2024-11-13 15:40:07,Negatif,
"Anggaran besar tapi buat program seharga bajet 5jt doang, UI Nya jelek, security-nya payah, banyak bug nya lagi. Jelek amat kualitas it di instansi ini",1,2024-11-13 15:29:14,Negatif,
Pas hari H aplikasi sirekap susah di gunakan 🙏,5,2024-11-13 15:24:37,Positif,
hadehhh gini amat,1,2024-11-13 15:06:56,Negatif,
Lebih aman,5,2024-11-13 15:06:22,Positif,
Bagus,5,2024-11-13 14:16:43,Positif,
"Todak bisa login,. Todak bisa update.. tidak bisaaaaaa ,., acakk aplikasinya",1,2024-11-13 13:49:12,Negatif,
"Ver 2.73 menggantikan file .apk ver 2.71. Bisa langsung masuk. Mudah2an lancar digunakan pada saat hari H tdk seperti pada saat pilpres/pileg, sehingga jadi celah untuk ""diserang"" oleh berbagai pihak",5,2024-11-13 13:46:38,Positif,
Susah,4,2024-11-13 13:36:55,Positif,
Dari pilpres sampe sekarang gajelas,1,2024-11-13 13:05:53,Negatif,
Aplikasi gagal,1,2024-11-13 12:43:56,Negatif,
Kok gak bisa di-update ke versi 2.73 ini yak?,1,2024-11-13 12:40:53,Negatif,
Aplikasi parah ora jelas,1,2024-11-13 12:34:56,Negatif,
semoga tidak ngelag disaat hari H hehehe,5,2024-11-13 12:34:44,Positif,
Sangat bagus,5,2024-11-13 12:34:02,Positif,
Masa ia kalo mau update mesti hapus dulu baru donwload ulang. Ngabisin kuota aja.,2,2024-11-13 12:29:08,Negatif,
Terima kasih 🙏🏻,5,2024-11-13 12:24:18,Positif,
Siap mengikuti proses dan tahapan nya.,5,2024-11-13 12:21:19,Positif,
"terima kasih atas kerja kerasnya dalam membuat aplikasi ini, persiapan besok bimtek jadi bisa tenang.",5,2024-11-13 12:09:19,Positif,
Mungkin suka,5,2024-11-13 11:50:24,Positif,
Semoga baik,5,2024-11-13 11:41:48,Positif,
Ini gmn ya...udah masuk trs udah dimasukan username dan pasword...trs muncul nmr telpon dan profilnya g'ada pilihan...ya aq sumit ya pasti eror,4,2024-11-13 11:39:43,Positif,
"Untuk update cukup menguras waktu dan kuota wkwk. Karena aplikasi sirekap ini biasa update kalau aplikasi sebelumnya dihapus dulu, kemudian diinstal lagi.",2,2024-11-13 11:39:30,Negatif,
Aplikasi server korup,1,2024-11-13 11:02:57,Negatif,
"aplikasi susah digunakan, eror selalu",1,2024-11-13 10:41:34,Negatif,
Okk,5,2024-11-13 09:25:41,Positif,
Aplikasi yang membagongkan,2,2024-11-13 09:09:55,Negatif,
Setiap mau dipakai ada saja kendal kendalanya,1,2024-11-13 09:08:48,Negatif,
Aplikasi sangat sulit di gunakan dan di update,1,2024-11-13 09:02:33,Negatif,
Knp ditadak dapat di perbarui min,5,2024-11-13 08:39:32,Positif,
Aplikasi macam apa ini. Sudah di instal di update pulak malah error'.,1,2024-11-13 08:36:44,Negatif,
Kenapa lah si rekap ini selalu harus install uninstall.... Perbaikan dan perbaikan...☹️,4,2024-11-13 08:22:41,Positif,
"Coba dong aplikasi nya yang jelas. Aplikasi log-in susah, error terus. Di Update bukannya makin bagus malah makin jele. Aplikasi yang katanya mempermudah malah jadi mempersulit. Buat developer nya pr banget nih buat memperbaiki bug.",1,2024-11-13 08:20:38,Negatif,
Good,5,2024-11-13 08:19:28,Positif,
Aplikasi gak bisa login,5,2024-11-13 08:13:09,Positif,
Anggaran gede Aplikasi Sulit,1,2024-11-13 07:57:53,Negatif,
"Sdh dpt link dr kpu tuk masuk pasword dr kpu malh link d buka ga bsa token sudah experid sja gmna kpu ini pilkada repot bngt,,cba d perbaiki kerja nya kita yg ada d kpps d tuntut untuk segera tp ga berfungsi gmna mau kerja trs sehaurs nya prasarana dan sarana menunjang tuk semua nya,,kan sdh belajar dr pilpres kemarin",2,2024-11-13 07:54:29,Negatif,
Ok,5,2024-11-13 07:53:13,Positif,
Keren,5,2024-11-13 07:42:23,Positif,
"update wae lier, 3x instal",5,2024-11-13 07:41:59,Positif,
Aplikasi lol,1,2024-11-13 07:29:50,Negatif,
Mantap,5,2024-11-13 07:20:51,Positif,
Lumayan sangat membantu,4,2024-11-13 07:17:54,Positif,
Pelis atuh ah... Ini penyakit dari pilpres sampe sekarang sama aja...serius dikit napa...ini tim IT nya ngelawak apa gmn... Akun duluan yg di kirim sementara apk nya msh lawas...,1,2024-11-13 07:17:34,Negatif,
good,5,2024-11-13 07:17:31,Positif,
Belum bisa pilih profil 😑😑,2,2024-11-13 07:15:28,Negatif,
Mantap,4,2024-11-13 07:12:50,Positif,
bermanfaat dan pembelajaran yg baik,4,2024-11-13 07:10:58,Positif,
Parah. Aplikasi develop biaya berapa kyak main main gini. Eror mulu diandroid 13,1,2024-11-13 07:08:16,Negatif,
"Sudah di update tapi tidak bisa login, yang bener aje. Sangat tidak ramah",1,2024-11-13 06:36:54,Negatif,
Unggah pdf gagal terus,2,2024-11-13 06:23:49,Negatif,
Aplikasi bobrok,1,2024-11-13 06:18:45,Negatif,
kalo ada rekapitulasi manual kenapa harus juga rekapitulasi online? buang2 anggaran,1,2024-11-13 05:43:04,Negatif,
mantap,5,2024-11-13 05:41:29,Positif,
DANA ELIT APLIKASI SYLITTT,1,2024-11-13 05:20:56,Negatif,
Mff nih ibu/bapak apknya sangat ribet sekali untuk sekelas apk pemerintah inimah bikin malu si dan menguras waktu dan akomodasi karna harus bimtek beberapa kali mending kalo mulus kebanyakan malah cuma bikin rusuh acara pencoblosan aja dah mending pake CamScanner aja,2,2024-11-13 05:12:30,Negatif,
Ok,5,2024-11-13 05:06:06,Positif,
"Programmer nya orang dalam mungkin ,makanya nggk becus urusin aplikasi",1,2024-11-13 04:56:01,Negatif,
Jika masih belum buat aplikasi kenapa harus maksa untuk buat. Kocak,1,2024-11-13 04:55:34,Negatif,
Mantap,5,2024-11-13 04:32:51,Positif,
"Di Update gak bisa, yg bikin nya gak mengurusi sepertinya",1,2024-11-13 04:27:36,Negatif,
Selama beberapa kali jdi penguna sirekap belum ada kemajuan,1,2024-11-13 03:40:33,Negatif,
"tolong lah bikin aplikasi yg bener, pertama install gak bisa di buka, terus verifikasi gk masuk, udh bisa masuktapi sampe sekarang gak bisa submit. gimana sih.",1,2024-11-13 03:38:01,Negatif,
Ayo dong ko lelet masuk nya,5,2024-11-13 03:06:03,Positif,
Nyusahin orang aja ini apk juancok,1,2024-11-13 02:49:28,Negatif,
Gimana caranya update aplikasi sirekap info dulu masee,4,2024-11-13 02:19:53,Positif,
Pembaruan tgl 9 nov 2024 gak bisa di update udah download tapi gagal install mulu,1,2024-11-13 02:10:34,Negatif,
ok,5,2024-11-13 02:02:11,Positif,
Masih mempelajari materi,1,2024-11-13 01:34:01,Negatif,
"Sudah donlot, sudah login. Tapiga bisa pilih profile. Gimana ini?",1,2024-11-13 01:10:23,Negatif,
"Disuruh nginstal, diinstal judule aplikasi versi ini g bisa ... 4 kali bongkar pasang belum terlihat hilalnyaa .... lhaaa terus piye",1,2024-11-13 01:10:13,Negatif,
"Ternyata aplikasinya sirekap pas mau buka """" Versi ini suda tidak dapat digunakan "" Katanya perbaikan gmna uda dicoba tetap aja yg keluar itu itu saja... Mohon cepat diperbaiki",2,2024-11-13 01:10:03,Negatif,
Aplikasi sirekapnya kedaluarsa,1,2024-11-13 01:08:45,Negatif,
Aplikasi sudah tidak bisa digunakan...kenapa gak ada update...👎,1,2024-11-13 00:58:31,Negatif,
Versi sudah kadaluarsa,1,2024-11-13 00:30:32,Negatif,
Ga bisa masuk sayang banget,2,2024-11-13 00:28:07,Negatif,
Suka eror terus ya udh pake sandi masih aja pake sidik jari /kata sandi hp hadeeh,1,2024-11-12 22:47:06,Negatif,
"aplikasi membosankan sangat menguras tenaga saat beusaha membukanya mau siang,malam, subu tetap tdk bisa... sangat melelahkan😕",1,2024-11-12 21:46:53,Negatif,
Ya mantap,3,2024-11-12 21:22:09,Netral,
Versi sudah kadaluarsa,1,2024-11-12 21:20:49,Negatif,
Kenap app nya tidak dapat di gunakan?,1,2024-11-12 19:16:56,Negatif,
Tidak profesional,1,2024-11-12 18:14:02,Negatif,
Ko punya sya Masi persi lama si blm bisa persi baru,5,2024-11-12 17:46:31,Positif,
Aplikasinya bapuk,1,2024-11-12 17:27:38,Negatif,
"Tolong dipercepatkan bosku,ini ko eror terus",3,2024-11-12 17:19:51,Netral,
Aplikasi bosok,1,2024-11-12 17:18:40,Negatif,
Aplikasinya jelek banget gak bisa di untuk sekelas kpu aja bikin aplikasi kayaknya gini hadeh,1,2024-11-12 16:46:28,Negatif,
Good,3,2024-11-12 16:45:46,Netral,
Link dari KPU pas di klik dari PlayStore malah versi gabisa digunakan...hadeuhhhhhhhhhhhhhhhhhh,1,2024-11-12 15:52:19,Negatif,
Tak bisa dibuka. Entah siapa yang salah,1,2024-11-12 15:20:13,Negatif,
Sangat membantu untuk persiapan rekap hasil pemilu,5,2024-11-12 15:09:24,Positif,
Lemot,5,2024-11-12 15:03:24,Positif,
Aplikasi ngak bisa di buka,2,2024-11-12 14:38:24,Negatif,
Update versi 2.71 ini masih 2.55,1,2024-11-12 14:31:39,Negatif,
Otentikasinya ribet,1,2024-11-12 14:22:08,Negatif,
"Halo min, App lupa password untk login, mohon bantuannya.",4,2024-11-12 14:15:01,Positif,
Bagus,5,2024-11-12 14:03:40,Positif,
Gak jelas,1,2024-11-12 13:40:57,Negatif,
Apk nya kok gak bisa digunakan mohon solusi nya,1,2024-11-12 13:39:48,Negatif,
Bagus,5,2024-11-12 13:39:38,Positif,
aplikasi rusak ga niat bikin wkwk,1,2024-11-12 13:39:10,Negatif,
"Aplikasi sirekap mempermudah dan amana, serta aman dalam Pilkada dan Presiden.",5,2024-11-12 13:35:24,Positif,
مُمتاخ,5,2024-11-12 13:32:38,Positif,
Bagus,5,2024-11-12 13:23:20,Positif,
Bagus sirekap tp ga bisaa di buka,5,2024-11-12 13:19:06,Positif,
Kami oprator Kpps sangat Susa utk Loding,5,2024-11-12 13:14:34,Positif,
Ok,5,2024-11-12 13:09:42,Positif,
Tidak bisa digunakan link dari KPU tapi No.respon Ampe skrang,2,2024-11-12 13:00:22,Negatif,
Semogah kejadiannya seperti waktu pemilihan presiden DOWN. lagian aplikasi masih perlu banyak evaluasi di pake.,1,2024-11-12 12:59:20,Negatif,
Bagus,4,2024-11-12 12:57:55,Positif,
Mantap,5,2024-11-12 12:45:51,Positif,
Aplikasi bagus,5,2024-11-12 12:43:44,Positif,
SANGAT JELEK,1,2024-11-12 12:39:24,Negatif,
Aplikasi lucu,3,2024-11-12 12:31:57,Netral,
Aplikasi negara kok lucu gini,1,2024-11-12 12:29:36,Negatif,
luar biasa,4,2024-11-12 12:15:54,Positif,
"Aplikasi sirekap mungkin bisa membantu,tapi sayangnya kenapa tidak bisa di buka di TPS 011,JATIMEKAR,JATIASIH,KOTA BEKASI,JAWA BARAT",5,2024-11-12 11:50:25,Positif,
Menggunakan si rekap pd waktu pilpres,4,2024-11-12 11:48:21,Positif,
"Aplikasi ga jelas,di suruh login paling lambat 12/11/2024,aplikasi di buka aja ga bisa,malah muncul notif aplikasi versi ini sudah tidak dapat digunakan,padahal link nya dari KPU",1,2024-11-12 11:46:05,Negatif,
Apk Ngaco,1,2024-11-12 11:44:53,Negatif,
Sekelas negara bobrok kali untuk apk ini.,1,2024-11-12 11:40:09,Negatif,
Ga bisa di pakai,1,2024-11-12 11:38:07,Negatif,
Ok,5,2024-11-12 11:28:27,Positif,
"Apaa la kpu ni, masak udah update pun ga bisa juga. Jangan gara² apk ga tidor² org di buat Padahal hp udah vivo v23 5G masak ga bisa submit",1,2024-11-12 11:22:02,Negatif,
Ok,5,2024-11-12 11:21:35,Positif,
Bagus,5,2024-11-12 11:16:44,Positif,
"Aplikasi gk jelas, beribet, ini aplikasi kpu tp bukanya mempermudah malah d persulit. Kita itu sudah bersedia membantu untuk kpu. Tp d bikin ribet dan sulit masuknya. Sudah download hapus download lg ttp z. Useless.",1,2024-11-12 11:10:01,Negatif,
Aplikasi kurang baguss,3,2024-11-12 11:08:03,Netral,
Hp saya kok tidak di ijinkan . Kira kira solusinya gimana ya ?,3,2024-11-12 11:04:56,Netral,
Aneh,1,2024-11-12 11:04:04,Negatif,
"Tolong bisa di buka di iphone , dan aplikasi ini seperti aplikasi yg susah berjalan. Entah drmana asalnya yg buat gk kompeten",1,2024-11-12 10:46:54,Negatif,
Aplikasi SAMPAH .. gak bisa apa lu pada bikin aplikasi ajg,1,2024-11-12 10:46:07,Negatif,
Ok,5,2024-11-12 10:41:26,Positif,
Versi ini sudah tidak dapat digunakan ....?,1,2024-11-12 10:32:23,Negatif,
ANEH. Seharus nya belajar dari pengalam pilpres . Ini malah tambah parah susah masuk nya,1,2024-11-12 10:27:28,Negatif,
Aplikasinya belum bisa di gunakan,5,2024-11-12 10:14:23,Positif,
Kabarin kalo udah bisa di buka dehh,2,2024-11-12 10:06:43,Negatif,
Ok,5,2024-11-12 10:04:46,Positif,
Mntap,5,2024-11-12 09:55:42,Positif,
Gini amat bikin aplikasinya kaya yg glk niat banget .,1,2024-11-12 09:54:28,Negatif,
aneh gk bisa di buka,5,2024-11-12 09:50:46,Positif,
ga bs terbuka.mohon untuk diupdate agar bs masuk,1,2024-11-12 09:46:32,Negatif,
Bobbrok,1,2024-11-12 09:20:48,Negatif,
Aplikasi terbaik 🤣,1,2024-11-12 09:13:39,Negatif,
Mantap,5,2024-11-12 08:59:34,Positif,
"Yang bermasalah apk nya,,, kpps yang kena semprot pps. Korupsi digedein, bikin apk untuk bangsa kek gak modal gini.",1,2024-11-12 08:58:50,Negatif,
Pengen maju tapi kyk gini amat sistemnya hdeh,1,2024-11-12 08:58:30,Negatif,
Kenapa tidak bisa di buka appnya,1,2024-11-12 08:52:56,Negatif,
Aplikasi gak bagus kok dipakai buat bangsa Lucu jasa Memalukan,1,2024-11-12 08:42:10,Negatif,
Mantap dan sederhana,5,2024-11-12 08:28:39,Positif,
Aplikasi g jelas masih aj di pake..skrang malah aplikasi versi tidak dapat digunakan,1,2024-11-12 08:15:10,Negatif,
Aku kasih bintang satu,1,2024-11-12 08:09:04,Negatif,
Susah,1,2024-11-12 08:02:32,Negatif,
Semoga bisa diperbaiki lagi,3,2024-11-12 07:45:57,Netral,
Semoga tak ada kendala dan sudah diperbaharui apknya,5,2024-11-12 07:31:39,Positif,
"Ra keno d install ""Aplikasi versi ini sudah tidakdapat digunakan"" 😮‍💨",1,2024-11-12 07:17:51,Negatif,
Kalau memang belum siap jangan langsung di praktekan . Siap kan dulu apk nya dengan baik . Masa eror mulu. Cair banyak nih .,1,2024-11-12 07:07:31,Negatif,
Mudah2an lancar,5,2024-11-12 07:05:35,Positif,
Aplikasi pemerintah semua sama,4,2024-11-12 06:56:13,Positif,
Tidak bisa di gunakan,2,2024-11-12 06:56:11,Negatif,
Ok,5,2024-11-12 06:48:11,Positif,
Bukan membantu malah makin susah sekelas pemerintah,1,2024-11-12 06:44:10,Negatif,
Mantep,5,2024-11-12 06:42:17,Positif,
"susah banget login,pas bisa login malah log out sendiri",1,2024-11-12 06:21:47,Negatif,
Sangat luar biasa,5,2024-11-12 06:19:25,Positif,
Kpu luar biasa,5,2024-11-12 06:08:47,Positif,
Aplikasi nob,2,2024-11-12 05:59:45,Negatif,
Saya perna menjadi bagian pengumuman suara,5,2024-11-12 05:30:21,Positif,
Kalau tidak bisa bikin apk Mending pake google form aja 🤣🤣🤣,1,2024-11-12 05:23:23,Negatif,
Saya dari kemarin tidak bisa login .. sampai gnti pasword 5x ..,1,2024-11-12 05:16:22,Negatif,
Siap,5,2024-11-12 05:07:47,Positif,
Gimana nie g bisa dibuka,2,2024-11-12 04:56:23,Negatif,
Error tidak bisa di Gunakan,1,2024-11-12 04:53:06,Negatif,
"Susah login, pemakaian sangat tidak praktis, fitur² ora jelas, dan gak ada fitur create new akun, pokoknya nih aplikasi minim fitur, aplikasi miskis",1,2024-11-12 04:49:33,Negatif,
Ok,5,2024-11-12 04:42:17,Positif,
"wkwkwk padahal baru tadi dapet sms disuruh instal apknya pas di instal malah error ga jellas wkwk,apk pemerintah gini amat ga bisa update dan malahan saat masuk apk nya udah ga bisa digunakan karna versinya udah terlalu jadul hahahahaha",1,2024-11-12 04:42:06,Negatif,
Mudah,3,2024-11-12 04:35:33,Netral,
Apa yg bisa diharapkan dari aplikasi bawaan pemerintah. Astagaaaaa,1,2024-11-12 04:31:25,Negatif,
lemot,1,2024-11-12 04:29:09,Negatif,
Bagus,5,2024-11-12 04:28:53,Positif,
Sagat bagus,5,2024-11-12 04:27:27,Positif,
"Tadi Pagi sya Dapat WA dari KPU Untuk install, setelah install Selesai di buka , gak Bisa ada kata2: Aplikasi versi ini, Sudah Tidak dapat digunakan Ini angel tuturane dikasih deadline 19-11-2024",3,2024-11-12 04:21:56,Netral,
Oke,5,2024-11-12 04:17:28,Positif,
"Ai sakirana apk can siap pake mah ulah waka dititah install atuhlah.. Sekelas apk yg notabene-nya milik KPU kos kieu patut.. Nu baleg atuh nyieun apk teh, ciga euweuh jalma pinter wae..",1,2024-11-12 04:14:26,Negatif,
Bisa tolong kalo Lupa kata sandi gimana cara mengatasinya ??,3,2024-11-12 04:13:24,Netral,
Aplikasi ga jelas,1,2024-11-12 04:13:15,Negatif,
LOADING,3,2024-11-12 03:44:08,Netral,
